region,c02_storage,value
DE,Saline_aquifer_onshore,608
DE,Saline_aquifer_offshore,912
DE,Depleted_hydrocarbon_fields_offshore,0
DE,Depleted_hydrocarbon_fields_onshore,0
DK,Saline_aquifer_onshore,0
DK,Saline_aquifer_offshore,192
DK,Depleted_hydrocarbon_fields_offshore,0
DK,Depleted_hydrocarbon_fields_onshore,400
FR,Saline_aquifer_onshore,2304
FR,Saline_aquifer_offshore,304
FR,Depleted_hydrocarbon_fields_offshore,0
FR,Depleted_hydrocarbon_fields_onshore,0
NO,Saline_aquifer_onshore,0
NO,Saline_aquifer_offshore,1248
NO,Depleted_hydrocarbon_fields_offshore,1904
NO,Depleted_hydrocarbon_fields_onshore,256
UK,Saline_aquifer_onshore,0
UK,Saline_aquifer_offshore,2304
UK,Depleted_hydrocarbon_fields_offshore,1248
UK,Depleted_hydrocarbon_fields_onshore,0
