year,region,technology,value
2020,DE,BiomassGenerator,20
2020,FR,BiomassGenerator,10
2020,UK,BiomassGenerator,10
2020,DK,BiomassGenerator,5
2020,NO,BiomassGenerator,5
2020,DE,BiomassPowerPlant_CCS,0
2020,FR,BiomassPowerPlant_CCS,0
2020,NO,BiomassPowerPlant_CCS,0
2020,DK,BiomassPowerPlant_CCS,0
2020,UK,BiomassPowerPlant_CCS,0
2020,DE,CoalCHPPlant_CCS,0
2020,FR,CoalCHPPlant_CCS,0
2020,NO,CoalCHPPlant_CCS,0
2020,DK,CoalCHPPlant_CCS,0
2020,UK,CoalCHPPlant_CCS,0
2020,DE,CoalMine,80
2020,FR,CoalMine,120
2020,NO,CoalMine,52
2020,DK,CoalMine,78
2020,UK,CoalMine,160
2020,DE,CoalPowerPlant_CCS,0
2020,FR,CoalPowerPlant_CCS,0
2020,NO,CoalPowerPlant_CCS,0
2020,DK,CoalPowerPlant_CCS,0
2020,UK,CoalPowerPlant_CCS,0
2020,DE,GasCHPPlant_CCS,0
2020,FR,GasCHPPlant_CCS,0
2020,NO,GasCHPPlant_CCS,0
2020,DK,GasCHPPlant_CCS,0
2020,UK,GasCHPPlant_CCS,0
2020,DK,GasExtractor,999
2020,FR,GasExtractor,999
2020,UK,GasExtractor,999
2020,DE,GasPowerPlant_CCS,0
2020,FR,GasPowerPlant_CCS,0
2020,NO,GasPowerPlant_CCS,0
2020,DK,GasPowerPlant_CCS,0
2020,UK,GasPowerPlant_CCS,0
2020,DE,SolarPV,98
2020,FR,SolarPV,130
2020,UK,SolarPV,58
2020,DK,SolarPV,30
2020,NO,SolarPV,17
2020,DE,WindOffshore,13
2020,FR,WindOffshore,6
2020,UK,WindOffshore,4
2020,DK,WindOffshore,0
2020,NO,WindOffshore,0
2020,DE,WindOnshore,65
2020,FR,WindOnshore,84
2020,UK,WindOnshore,90
2020,DK,WindOnshore,39
2020,NO,WindOnshore,26
2030,DE,BiomassGenerator,20
2030,FR,BiomassGenerator,10
2030,UK,BiomassGenerator,10
2030,DK,BiomassGenerator,5
2030,NO,BiomassGenerator,5
2030,DE,BiomassPowerPlant_CCS,999
2030,FR,BiomassPowerPlant_CCS,999
2030,NO,BiomassPowerPlant_CCS,999
2030,DK,BiomassPowerPlant_CCS,999
2030,UK,BiomassPowerPlant_CCS,999
2030,DE,CoalCHPPlant_CCS,999
2030,FR,CoalCHPPlant_CCS,999
2030,NO,CoalCHPPlant_CCS,999
2030,DK,CoalCHPPlant_CCS,999
2030,UK,CoalCHPPlant_CCS,999
2030,DE,CoalMine,60
2030,FR,CoalMine,90
2030,NO,CoalMine,39
2030,DK,CoalMine,58.5
2030,UK,CoalMine,120
2030,DE,CoalPowerPlant_CCS,999
2030,FR,CoalPowerPlant_CCS,999
2030,NO,CoalPowerPlant_CCS,999
2030,DK,CoalPowerPlant_CCS,999
2030,UK,CoalPowerPlant_CCS,999
2030,DE,GasCHPPlant_CCS,999
2030,FR,GasCHPPlant_CCS,999
2030,NO,GasCHPPlant_CCS,999
2030,DK,GasCHPPlant_CCS,999
2030,UK,GasCHPPlant_CCS,999
2030,DK,GasExtractor,999
2030,FR,GasExtractor,999
2030,UK,GasExtractor,999
2030,DE,GasPowerPlant_CCS,999
2030,FR,GasPowerPlant_CCS,999
2030,NO,GasPowerPlant_CCS,999
2030,DK,GasPowerPlant_CCS,999
2030,UK,GasPowerPlant_CCS,999
2030,DE,SolarPV,136
2030,FR,SolarPV,179
2030,UK,SolarPV,81
2030,DK,SolarPV,41
2030,NO,SolarPV,23
2030,DE,WindOffshore,21
2030,FR,WindOffshore,11
2030,UK,WindOffshore,7
2030,DK,WindOffshore,7
2030,NO,WindOffshore,5
2030,DE,WindOnshore,82
2030,FR,WindOnshore,106
2030,UK,WindOnshore,113
2030,DK,WindOnshore,49
2030,NO,WindOnshore,33
2040,DE,BiomassGenerator,20
2040,FR,BiomassGenerator,10
2040,UK,BiomassGenerator,10
2040,DK,BiomassGenerator,5
2040,NO,BiomassGenerator,5
2040,DE,BiomassPowerPlant_CCS,999
2040,FR,BiomassPowerPlant_CCS,999
2040,NO,BiomassPowerPlant_CCS,999
2040,DK,BiomassPowerPlant_CCS,999
2040,UK,BiomassPowerPlant_CCS,999
2040,DE,CoalCHPPlant_CCS,999
2040,FR,CoalCHPPlant_CCS,999
2040,NO,CoalCHPPlant_CCS,999
2040,DK,CoalCHPPlant_CCS,999
2040,UK,CoalCHPPlant_CCS,999
2040,NO,CoalMine,30
2040,DK,CoalMine,45
2040,DE,CoalMine,19.5
2040,FR,CoalMine,29.25
2040,DE,CoalPowerPlant_CCS,999
2040,FR,CoalPowerPlant_CCS,999
2040,NO,CoalPowerPlant_CCS,999
2040,DK,CoalPowerPlant_CCS,999
2040,UK,CoalPowerPlant_CCS,999
2040,DE,GasCHPPlant_CCS,999
2040,FR,GasCHPPlant_CCS,999
2040,NO,GasCHPPlant_CCS,999
2040,DK,GasCHPPlant_CCS,999
2040,UK,GasCHPPlant_CCS,999
2040,DK,GasExtractor,999
2040,FR,GasExtractor,999
2040,UK,GasExtractor,999
2040,DE,GasPowerPlant_CCS,999
2040,FR,GasPowerPlant_CCS,999
2040,NO,GasPowerPlant_CCS,999
2040,DK,GasPowerPlant_CCS,999
2040,UK,GasPowerPlant_CCS,999
2040,DE,SolarPV,198
2040,FR,SolarPV,246
2040,UK,SolarPV,130
2040,DK,SolarPV,60
2040,NO,SolarPV,34
2040,DE,WindOffshore,32
2040,FR,WindOffshore,25
2040,UK,WindOffshore,20
2040,DK,WindOffshore,12
2040,NO,WindOffshore,8
2040,DE,WindOnshore,99
2040,FR,WindOnshore,140
2040,UK,WindOnshore,151
2040,DK,WindOnshore,59
2040,NO,WindOnshore,39
2050,DE,BiomassGenerator,25
2050,FR,BiomassGenerator,15
2050,UK,BiomassGenerator,10
2050,DK,BiomassGenerator,10
2050,NO,BiomassGenerator,10
2050,DE,BiomassPowerPlant_CCS,999
2050,FR,BiomassPowerPlant_CCS,999
2050,NO,BiomassPowerPlant_CCS,999
2050,DK,BiomassPowerPlant_CCS,999
2050,UK,BiomassPowerPlant_CCS,999
2050,DE,CoalCHPPlant_CCS,999
2050,FR,CoalCHPPlant_CCS,999
2050,NO,CoalCHPPlant_CCS,999
2050,DK,CoalCHPPlant_CCS,999
2050,UK,CoalCHPPlant_CCS,999
2050,NO,CoalMine,30
2050,DK,CoalMine,45
2050,DE,CoalMine,19.5
2050,FR,CoalMine,29.25
2050,DE,CoalPowerPlant_CCS,999
2050,FR,CoalPowerPlant_CCS,999
2050,NO,CoalPowerPlant_CCS,999
2050,DK,CoalPowerPlant_CCS,999
2050,UK,CoalPowerPlant_CCS,999
2050,DE,GasCHPPlant_CCS,999
2050,FR,GasCHPPlant_CCS,999
2050,NO,GasCHPPlant_CCS,999
2050,DK,GasCHPPlant_CCS,999
2050,UK,GasCHPPlant_CCS,999
2050,DK,GasExtractor,999
2050,FR,GasExtractor,999
2050,UK,GasExtractor,999
2050,DE,GasPowerPlant_CCS,999
2050,FR,GasPowerPlant_CCS,999
2050,NO,GasPowerPlant_CCS,999
2050,DK,GasPowerPlant_CCS,999
2050,UK,GasPowerPlant_CCS,999
2050,DE,SolarPV,400
2050,FR,SolarPV,600
2050,UK,SolarPV,400
2050,DK,SolarPV,120
2050,NO,SolarPV,67
2050,DE,WindOffshore,45
2050,FR,WindOffshore,24
2050,UK,WindOffshore,30
2050,DK,WindOffshore,30
2050,NO,WindOffshore,30
2050,DE,WindOnshore,130
2050,FR,WindOnshore,180
2050,UK,WindOnshore,210
2050,DK,WindOnshore,70
2050,NO,WindOnshore,46
