year,region,technology,value
2020,FR,BEV,14
2020,UK,BEV,17
2030,FR,BEV,10.5
2030,UK,BEV,12.75
2040,FR,BEV,5.25
2040,UK,BEV,6.375
2020,DE,BiomassGenerator,20
2020,FR,BiomassGenerator,10
2020,NO,BiomassGenerator,5
2020,DK,BiomassGenerator,5
2020,UK,BiomassGenerator,10
2030,DE,BiomassGenerator,15
2030,FR,BiomassGenerator,7.5
2030,NO,BiomassGenerator,3.75
2030,DK,BiomassGenerator,3.75
2030,UK,BiomassGenerator,7.5
2040,DE,BiomassGenerator,7.5
2040,FR,BiomassGenerator,3.75
2040,NO,BiomassGenerator,1.875
2040,DK,BiomassGenerator,1.875
2040,UK,BiomassGenerator,3.75
2020,FR,CoalCHPPlant,20
2020,DK,CoalCHPPlant,10
2020,UK,CoalCHPPlant,100
2030,FR,CoalCHPPlant,15
2030,DK,CoalCHPPlant,7.5
2030,UK,CoalCHPPlant,75
2040,FR,CoalCHPPlant,3.75
2040,DK,CoalCHPPlant,1.875
2040,UK,CoalCHPPlant,18.75
2050,FR,CoalCHPPlant,0
2050,DK,CoalCHPPlant,0
2050,UK,CoalCHPPlant,0
2040,UK,CoalMine,18.75
2050,UK,CoalMine,0
2020,DE,CoalMine,40
2020,FR,CoalMine,60
2020,NO,CoalMine,26
2020,DK,CoalMine,39
2020,UK,CoalMine,80
2030,DE,CoalMine,30
2030,FR,CoalMine,45
2030,NO,CoalMine,19.5
2030,DK,CoalMine,29.25
2030,UK,CoalMine,60
2020,DE,CoalPowerPlant,60
2020,FR,CoalPowerPlant,90
2020,NO,CoalPowerPlant,39
2020,DK,CoalPowerPlant,58.5
2020,UK,CoalPowerPlant,120
2030,DE,CoalPowerPlant,15
2030,FR,CoalPowerPlant,22.5
2030,NO,CoalPowerPlant,9.75
2030,DK,CoalPowerPlant,14.625
2030,UK,CoalPowerPlant,30
2020,DE,GasCHPPlant,200
2020,FR,GasCHPPlant,12
2020,NO,GasCHPPlant,12
2020,DK,GasCHPPlant,25
2020,UK,GasCHPPlant,20
2030,DE,GasCHPPlant,150
2030,FR,GasCHPPlant,9
2030,NO,GasCHPPlant,9
2030,DK,GasCHPPlant,18.75
2030,UK,GasCHPPlant,15
2040,DE,GasCHPPlant,37.5
2040,FR,GasCHPPlant,2.25
2040,NO,GasCHPPlant,2.25
2040,DK,GasCHPPlant,4.6875
2040,UK,GasCHPPlant,3.75
2050,DE,GasCHPPlant,0
2050,FR,GasCHPPlant,0
2050,NO,GasCHPPlant,0
2050,DK,GasCHPPlant,0
2050,UK,GasCHPPlant,0
2020,DE,GasExtractor,150
2020,NO,GasExtractor,120
2030,DE,GasExtractor,112.5
2030,NO,GasExtractor,90
2040,DE,GasExtractor,28.125
2040,NO,GasExtractor,22.5
2050,DE,GasExtractor,0
2050,NO,GasExtractor,0
2020,FR,GasPowerPlant,8
2020,NO,GasPowerPlant,60
2020,UK,GasPowerPlant,6
2030,FR,GasPowerPlant,6
2030,NO,GasPowerPlant,45
2030,UK,GasPowerPlant,4.5
2040,FR,GasPowerPlant,0.75
2040,NO,GasPowerPlant,5.625
2040,UK,GasPowerPlant,0.5625
2050,FR,GasPowerPlant,0
2050,NO,GasPowerPlant,0
2050,UK,GasPowerPlant,0
2020,DE,LPGCar,25
2020,FR,LPGCar,16
2020,NO,LPGCar,4
2020,DK,LPGCar,4
2020,UK,LPGCar,13
2030,DE,LPGCar,18.75
2030,FR,LPGCar,12
2030,NO,LPGCar,3
2030,DK,LPGCar,3
2030,UK,LPGCar,9.75
2040,DE,LPGCar,0
2040,FR,LPGCar,0
2040,NO,LPGCar,0
2040,DK,LPGCar,0
2040,UK,LPGCar,0
2020,DE,Power2Gas,27
2020,FR,Power2Gas,18
2020,NO,Power2Gas,8
2020,DK,Power2Gas,9
2020,UK,Power2Gas,15
2030,DE,Power2Gas,20.25
2030,FR,Power2Gas,13.5
2030,NO,Power2Gas,6
2030,DK,Power2Gas,6.75
