Year,Hour,CO2_Transport_Technology,From,To,value
2050,114,Pipeline_diameter_1.6,FR,UK,9.54104240000016
2040,116,Pipeline_diameter_1.6,DE,DK,36.58762845172444
2050,18,Pipeline_diameter_1.6,FR,UK,11.399725099999964
2030,112,Pipeline_diameter_1.6,UK,FR,0.509351296666668
2050,19,Pipeline_diameter_1.6,DE,DK,34.279471900000125
2040,19,Pipeline_diameter_1.6,UK,FR,34.681738086133336
2040,111,Pipeline_diameter_1.6,FR,UK,13.77910140820137
2050,112,Pipeline_diameter_1.6,FR,UK,8.890920200000036
2040,37,Pipeline_diameter_1.6,UK,FR,10.8069255
2050,20,Pipeline_diameter_1.6,DE,DK,24.57113823194112
2040,20,Pipeline_diameter_1.6,UK,FR,41.89161292133333
2040,27,Pipeline_diameter_1.6,UK,FR,36.3580245
2040,48,Pipeline_diameter_1.6,UK,FR,24.9564105
2040,116,Pipeline_diameter_1.6,FR,UK,9.614072000000032
2040,113,Pipeline_diameter_1.6,DK,NO,8.259824000000018
2050,110,Pipeline_diameter_1.6,DK,NO,38.676888626261324
2050,111,Pipeline_diameter_1.6,DK,NO,30.99826656724706
2050,25,Pipeline_diameter_1.6,DK,NO,45.935868771848945
2050,19,Pipeline_diameter_1.6,FR,UK,11.61643250000016
2050,13,Pipeline_diameter_1.6,DK,NO,10.87931570510186
2050,106,Pipeline_diameter_1.6,DE,DK,0.6854675390533984
2050,16,Pipeline_diameter_1.6,DK,NO,32.255372450678074
2040,61,Pipeline_diameter_1.6,UK,FR,5.311183499999999
2040,114,Pipeline_diameter_1.6,FR,UK,16.90686317782967
2050,26,Pipeline_diameter_1.6,DK,NO,21.783006646564846
2050,20,Pipeline_diameter_1.6,FR,UK,11.808135200000258
2050,116,Pipeline_diameter_1.6,DK,NO,46.93420478824139
2040,73,Pipeline_diameter_1.6,DE,DK,11.59729418202947
2040,112,Pipeline_diameter_1.6,FR,UK,32.385637840800456
2050,114,Pipeline_diameter_1.6,DK,NO,48.66680189969556
2050,18,Pipeline_diameter_1.6,DK,NO,32.6063506107849
2050,17,Pipeline_diameter_1.6,DE,DK,23.602465000000066
2040,17,Pipeline_diameter_1.6,UK,FR,42.490390446133325
2040,70,Pipeline_diameter_1.6,DE,DK,3.585249893853936
2050,22,Pipeline_diameter_1.6,DE,DK,20.47202676590911
2040,22,Pipeline_diameter_1.6,UK,FR,40.54385249773333
2040,63,Pipeline_diameter_1.6,UK,FR,6.345720681181181
2040,110,Pipeline_diameter_1.6,DK,NO,7.577156000000029
2040,111,Pipeline_diameter_1.6,DK,NO,7.831172000000094
2040,54,Pipeline_diameter_1.6,UK,FR,11.0119905
2040,14,Pipeline_diameter_1.6,UK,FR,24.587293499999998
2040,47,Pipeline_diameter_1.6,UK,FR,22.9467735
2050,112,Pipeline_diameter_1.6,DK,NO,59.0320224219517
2040,34,Pipeline_diameter_1.6,UK,FR,8.5512105
2040,51,Pipeline_diameter_1.6,UK,FR,5.414334888545455
2050,16,Pipeline_diameter_1.6,DE,FR,0.6244745353750787
2040,116,Pipeline_diameter_1.6,DK,NO,45.11231652795379
2050,17,Pipeline_diameter_1.6,FR,UK,11.141343200000035
2040,39,Pipeline_diameter_1.6,UK,FR,11.07351
2050,22,Pipeline_diameter_1.6,FR,UK,12.149866100000196
2050,19,Pipeline_diameter_1.6,DK,NO,46.193710140748216
2040,15,Pipeline_diameter_1.6,UK,FR,25.899709500000004
2050,105,Pipeline_diameter_1.6,DK,NO,6.018985651639088
2040,71,Pipeline_diameter_1.6,DE,DK,22.419307027600098
2040,114,Pipeline_diameter_1.6,DK,NO,8.386832000000059
2040,57,Pipeline_diameter_1.6,UK,FR,8.633236499999999
2050,14,Pipeline_diameter_1.6,FR,UK,9.699405500000067
2050,20,Pipeline_diameter_1.6,DK,NO,36.93056661197454
2040,29,Pipeline_diameter_1.6,UK,FR,8.647472578545448
2040,36,Pipeline_diameter_1.6,UK,FR,1.7841880953513516
2050,23,Pipeline_diameter_1.6,DE,DK,34.62953770000002
2040,23,Pipeline_diameter_1.6,UK,FR,30.9032955
2040,112,Pipeline_diameter_1.6,DK,NO,8.085187999999997
2050,15,Pipeline_diameter_1.6,FR,UK,31.332954978001016
2050,106,Pipeline_diameter_1.6,DK,NO,8.027415823067011
2050,115,Pipeline_diameter_1.6,DE,DK,35.57971630000011
2050,23,Pipeline_diameter_1.6,FR,UK,12.283224500000072
2050,24,Pipeline_diameter_1.6,DE,DK,33.92940610000014
2040,24,Pipeline_diameter_1.6,UK,FR,31.313425499999997
2050,109,Pipeline_diameter_1.6,DE,DK,20.326849300000067
2050,17,Pipeline_diameter_1.6,DK,NO,35.32878425845343
2050,119,Pipeline_diameter_1.6,DE,DK,33.929406100000065
2050,22,Pipeline_diameter_1.6,DK,NO,32.932926589063825
2040,76,Pipeline_diameter_1.6,DE,FR,3.916137999999995
2040,53,Pipeline_diameter_1.6,UK,FR,4.847426713368421
2040,33,Pipeline_diameter_1.6,UK,FR,8.633236499999999
2040,62,Pipeline_diameter_1.6,UK,FR,3.5066114999999995
2050,14,Pipeline_diameter_1.6,DK,NO,11.459631800000027
2030,109,Pipeline_diameter_1.6,UK,FR,10.233825357066666
2040,12,Pipeline_diameter_1.6,UK,FR,12.75148113345454
2050,115,Pipeline_diameter_1.6,FR,UK,9.824429000000258
2050,120,Pipeline_diameter_1.6,DE,DK,25.27777990000009
2050,117,Pipeline_diameter_1.6,DE,DK,44.80645060000012
2040,42,Pipeline_diameter_1.6,UK,FR,13.0626405
2050,24,Pipeline_diameter_1.6,FR,UK,16.53878934538392
2050,109,Pipeline_diameter_1.6,FR,UK,5.74333718368661
2050,119,Pipeline_diameter_1.6,FR,UK,10.807947199999969
2040,45,Pipeline_diameter_1.6,UK,FR,16.9998885
2040,41,Pipeline_diameter_1.6,UK,FR,11.8732635
2050,15,Pipeline_diameter_1.6,DK,NO,11.734683500000102
2040,73,Pipeline_diameter_1.6,DE,FR,7.645475876903825
2050,118,Pipeline_diameter_1.6,DE,DK,38.60528500000011
2040,119,Pipeline_diameter_1.6,DE,DK,61.647558369590534
2050,107,Pipeline_diameter_1.6,DE,DK,12.375354700000033
2040,44,Pipeline_diameter_1.6,UK,FR,15.851524499999998
2050,120,Pipeline_diameter_1.6,FR,UK,10.899631100000084
2050,117,Pipeline_diameter_1.6,FR,UK,8.77418725720485
2050,23,Pipeline_diameter_1.6,DK,NO,47.127094884429916
2040,50,Pipeline_diameter_1.6,UK,FR,16.980904477636372
2040,115,Pipeline_diameter_1.6,FR,UK,14.173222422401977
2030,107,Pipeline_diameter_1.6,UK,FR,6.500723691550995
2040,3,Pipeline_diameter_1.6,UK,FR,0.779246999999998
2050,108,Pipeline_diameter_1.6,DE,DK,16.326097300000086
2040,40,Pipeline_diameter_1.6,UK,FR,10.786418999999999
2040,120,Pipeline_diameter_1.6,DE,DK,53.407914369590486
2040,117,Pipeline_diameter_1.6,DE,DK,72.00664836959058
2050,118,Pipeline_diameter_1.6,FR,UK,10.599574700000074
2040,28,Pipeline_diameter_1.6,UK,FR,11.908006078545448
2040,11,Pipeline_diameter_1.6,UK,FR,0.8226198525454606
2040,119,Pipeline_diameter_1.6,FR,UK,18.414013144048436
