Year,Hour,CO2_Transport_Technology,To,From,value
2050,113,Pipeline_diameter_1.6,DK,DE,45.330795190633246
2050,16,Pipeline_diameter_1.6,FR,DE,0.6239262155092926
2040,59,Pipeline_diameter_1.6,FR,UK,8.79425906573214
2050,24,Pipeline_diameter_1.6,NO,DK,46.4380994004026
2050,109,Pipeline_diameter_1.6,NO,DK,27.948381165744156
2040,55,Pipeline_diameter_1.6,FR,UK,9.737233231288497
2050,119,Pipeline_diameter_1.6,NO,DK,43.20572097014797
2040,25,Pipeline_diameter_1.6,FR,UK,33.721576137830695
2040,13,Pipeline_diameter_1.6,FR,UK,23.307861439947416
2040,58,Pipeline_diameter_1.6,FR,UK,8.54826580515222
2040,16,Pipeline_diameter_1.6,FR,UK,29.03915546092428
2040,10,Pipeline_diameter_1.6,FR,UK,10.124278354516774
2040,26,Pipeline_diameter_1.6,FR,UK,35.5665255921801
2030,110,Pipeline_diameter_1.6,FR,UK,10.230301236966705
2030,111,Pipeline_diameter_1.6,FR,UK,10.230301236966705
2050,17,Pipeline_diameter_1.6,UK,FR,11.137506567055683
2040,46,Pipeline_diameter_1.6,FR,UK,20.06895017564514
2050,120,Pipeline_diameter_1.6,NO,DK,35.9101012138291
2050,22,Pipeline_diameter_1.6,UK,FR,12.14568217211
2040,38,Pipeline_diameter_1.6,FR,UK,10.905701219043118
2050,117,Pipeline_diameter_1.6,NO,DK,53.81539946330363
2040,56,Pipeline_diameter_1.6,FR,UK,9.14274951822036
2040,49,Pipeline_diameter_1.6,FR,UK,23.61535301567232
2050,14,Pipeline_diameter_1.6,UK,FR,9.696065412722087
2040,115,Pipeline_diameter_1.6,NO,DK,8.47798911579486
2050,110,Pipeline_diameter_1.6,DK,DE,30.717914826261282
2050,111,Pipeline_diameter_1.6,DK,DE,22.77257596724704
2040,18,Pipeline_diameter_1.6,FR,UK,36.13524940591626
2050,25,Pipeline_diameter_1.6,DK,DE,32.74257777184884
2050,118,Pipeline_diameter_1.6,NO,DK,47.73605923308125
2040,64,Pipeline_diameter_1.6,FR,UK,9.18396413126308
2040,109,Pipeline_diameter_1.6,NO,DK,1.1065177410351503
2050,16,Pipeline_diameter_1.6,DK,DE,20.30398155067809
2040,119,Pipeline_diameter_1.6,NO,DK,76.24493729096473
2050,107,Pipeline_diameter_1.6,NO,DK,19.320414011033055
2050,26,Pipeline_diameter_1.6,DK,DE,8.589715646564862
2050,15,Pipeline_diameter_1.6,UK,FR,31.322165161624792
2050,116,Pipeline_diameter_1.6,DK,DE,37.966708088241376
2050,108,Pipeline_diameter_1.6,NO,DK,23.63440644527221
2040,120,Pipeline_diameter_1.6,NO,DK,68.09153521093687
2040,117,Pipeline_diameter_1.6,NO,DK,80.55921639645425
2050,114,Pipeline_diameter_1.6,DK,DE,38.59160405910174
2030,112,Pipeline_diameter_1.6,FR,UK,0.5091758964541478
2040,19,Pipeline_diameter_1.6,FR,UK,34.669795082806
2050,18,Pipeline_diameter_1.6,DK,DE,20.7799832107849
2040,76,Pipeline_diameter_1.6,FR,DE,3.912699435029095
2050,23,Pipeline_diameter_1.6,UK,FR,12.278994648811251
2050,21,Pipeline_diameter_1.6,NO,DK,50.66188009644776
2040,118,Pipeline_diameter_1.6,NO,DK,80.55954516042495
2040,37,Pipeline_diameter_1.6,FR,UK,10.80320402713482
2040,20,Pipeline_diameter_1.6,FR,UK,41.87718712550774
2040,27,Pipeline_diameter_1.6,FR,UK,36.34550425068318
2040,48,Pipeline_diameter_1.6,FR,UK,24.94781651048022
2050,112,Pipeline_diameter_1.6,DK,DE,50.53961502195166
2040,72,Pipeline_diameter_1.6,DK,DE,34.007206623392
2050,113,Pipeline_diameter_1.6,NO,DK,53.980472255557686
2040,116,Pipeline_diameter_1.6,DK,DE,36.57466252795372
2050,115,Pipeline_diameter_1.6,UK,FR,9.821045859629818
2040,61,Pipeline_diameter_1.6,FR,UK,5.309354540849939
2050,19,Pipeline_diameter_1.6,DK,DE,34.267323940748206
2040,73,Pipeline_diameter_1.6,FR,DE,7.63876276681011
2050,24,Pipeline_diameter_1.6,UK,FR,16.53309404788494
2050,109,Pipeline_diameter_1.6,UK,FR,5.741359408094036
2050,119,Pipeline_diameter_1.6,UK,FR,10.804225375302176
2050,20,Pipeline_diameter_1.6,DK,DE,24.562430711974486
2040,17,Pipeline_diameter_1.6,FR,UK,42.47575845527929
2050,120,Pipeline_diameter_1.6,UK,FR,10.895877703034488
2050,117,Pipeline_diameter_1.6,UK,FR,8.77116577808096
2040,113,Pipeline_diameter_1.6,NO,DK,8.255832522650257
2050,106,Pipeline_diameter_1.6,DK,DE,0.6852246230669087
2040,22,Pipeline_diameter_1.6,FR,UK,40.529890816687214
2050,110,Pipeline_diameter_1.6,NO,DK,38.65819840660157
2040,63,Pipeline_diameter_1.6,FR,UK,6.343535468807409
2050,111,Pipeline_diameter_1.6,NO,DK,30.983286964911105
2050,25,Pipeline_diameter_1.6,NO,DK,45.913670722623635
2040,115,Pipeline_diameter_1.6,UK,FR,14.168341731528598
2050,13,Pipeline_diameter_1.6,NO,DK,10.874058384580525
2040,54,Pipeline_diameter_1.6,FR,UK,11.008198410951419
2040,14,Pipeline_diameter_1.6,FR,UK,24.578826619610336
2050,16,Pipeline_diameter_1.6,NO,DK,32.239785364495006
2040,47,Pipeline_diameter_1.6,FR,UK,22.93887154907754
2040,34,Pipeline_diameter_1.6,FR,UK,8.54826580515222
2040,51,Pipeline_diameter_1.6,FR,UK,5.4124704081832355
2050,26,Pipeline_diameter_1.6,NO,DK,21.77248022643296
2050,118,Pipeline_diameter_1.6,UK,FR,10.595924630456382
2050,15,Pipeline_diameter_1.6,FR,DE,21.108450778000947
2040,73,Pipeline_diameter_1.6,DK,DE,11.593184332917243
2040,119,Pipeline_diameter_1.6,UK,FR,18.40767209448215
2050,116,Pipeline_diameter_1.6,NO,DK,46.91152430311952
2040,39,Pipeline_diameter_1.6,FR,UK,11.0696967260964
2040,15,Pipeline_diameter_1.6,FR,UK,25.890790676036584
2050,17,Pipeline_diameter_1.6,DK,DE,23.594100758453365
2040,70,Pipeline_diameter_1.6,DK,DE,3.583979352996552
2050,114,Pipeline_diameter_1.6,NO,DK,48.64328415434555
2050,22,Pipeline_diameter_1.6,DK,DE,20.464771889063808
2040,57,Pipeline_diameter_1.6,FR,UK,8.630263558678859
2050,18,Pipeline_diameter_1.6,NO,DK,32.59059391791575
2040,120,Pipeline_diameter_1.6,UK,FR,42.683826860694566
2040,117,Pipeline_diameter_1.6,UK,FR,9.880560358156977
2040,110,Pipeline_diameter_1.6,NO,DK,7.573494415134589
2040,111,Pipeline_diameter_1.6,NO,DK,7.8273876644428135
2040,29,Pipeline_diameter_1.6,FR,UK,8.6444947348883
2040,36,Pipeline_diameter_1.6,FR,UK,1.7835736923388363
2040,23,Pipeline_diameter_1.6,FR,UK,30.89265364116162
2050,112,Pipeline_diameter_1.6,NO,DK,59.00349578743652
2050,21,Pipeline_diameter_1.6,UK,FR,11.987373606027019
2040,118,Pipeline_diameter_1.6,UK,FR,10.078942019915182
2040,74,Pipeline_diameter_1.6,FR,DE,5.697181193826613
2040,116,Pipeline_diameter_1.6,NO,DK,45.09051645211482
2050,113,Pipeline_diameter_1.6,UK,FR,9.237803774061002
2040,71,Pipeline_diameter_1.6,DK,DE,22.411362073575656
2050,19,Pipeline_diameter_1.6,NO,DK,46.171387492259804
2050,105,Pipeline_diameter_1.6,NO,DK,6.01607703701279
2040,75,Pipeline_diameter_1.6,FR,DE,4.48373359784442
2040,114,Pipeline_diameter_1.6,NO,DK,8.38277914730438
2050,20,Pipeline_diameter_1.6,NO,DK,36.91272028496497
2050,23,Pipeline_diameter_1.6,DK,DE,34.617265684429896
2040,24,Pipeline_diameter_1.6,FR,UK,31.302642408794817
2040,53,Pipeline_diameter_1.6,FR,UK,4.845757453505405
2040,33,Pipeline_diameter_1.6,FR,UK,8.630263558678859
2040,62,Pipeline_diameter_1.6,FR,UK,3.5054039632638596
2040,112,Pipeline_diameter_1.6,NO,DK,8.081280913750877
2050,106,Pipeline_diameter_1.6,NO,DK,8.023536654644673
2030,109,Pipeline_diameter_1.6,FR,UK,10.230301236966705
2040,12,Pipeline_diameter_1.6,FR,UK,12.747090033411423
2040,113,Pipeline_diameter_1.6,UK,FR,23.31288170938028
2050,115,Pipeline_diameter_1.6,DK,DE,35.567107560137714
2050,110,Pipeline_diameter_1.6,UK,FR,7.904679007047364
2040,42,Pipeline_diameter_1.6,FR,UK,13.05814224911742
2050,111,Pipeline_diameter_1.6,UK,FR,8.41293282447146
2050,25,Pipeline_diameter_1.6,UK,FR,25.09856389269613
2050,13,Pipeline_diameter_1.6,UK,FR,6.937281192272303
2040,45,Pipeline_diameter_1.6,FR,UK,16.99403441839614
2050,16,Pipeline_diameter_1.6,UK,FR,11.30295628867257
2040,41,Pipeline_diameter_1.6,FR,UK,11.86917482298114
2050,24,Pipeline_diameter_1.6,DK,DE,33.91738219706642
2050,109,Pipeline_diameter_1.6,DK,DE,20.319645871145134
2050,119,Pipeline_diameter_1.6,DK,DE,33.917382197066345
2050,26,Pipeline_diameter_1.6,UK,FR,27.793919936153443
2050,116,Pipeline_diameter_1.6,UK,FR,7.94767318217966
2050,17,Pipeline_diameter_1.6,NO,DK,35.31171197674838
2050,22,Pipeline_diameter_1.6,NO,DK,32.91701208161893
2040,44,Pipeline_diameter_1.6,FR,UK,15.846065869023178
2050,14,Pipeline_diameter_1.6,NO,DK,11.454094047528995
2050,120,Pipeline_diameter_1.6,DK,DE,25.26882196035913
2050,114,Pipeline_diameter_1.6,UK,FR,9.537756846639295
2050,117,Pipeline_diameter_1.6,DK,DE,44.79057209003649
2040,50,Pipeline_diameter_1.6,FR,UK,16.975056933370453
2050,18,Pipeline_diameter_1.6,UK,FR,11.395799490664528
2030,107,Pipeline_diameter_1.6,FR,UK,6.498485102340572
2040,3,Pipeline_diameter_1.6,FR,UK,0.778978658503078
2040,40,Pipeline_diameter_1.6,FR,UK,10.782704588753159
2040,28,Pipeline_diameter_1.6,FR,UK,11.90390543757224
2040,111,Pipeline_diameter_1.6,UK,FR,13.774356436840442
2040,11,Pipeline_diameter_1.6,FR,UK,0.8223365751730379
2050,118,Pipeline_diameter_1.6,DK,DE,38.59160405910181
2050,15,Pipeline_diameter_1.6,NO,DK,11.729012831545562
2030,108,Pipeline_diameter_1.6,FR,UK,10.230301236966705
2050,112,Pipeline_diameter_1.6,UK,FR,8.887858522719963
2040,119,Pipeline_diameter_1.6,DK,DE,61.62571170785552
2040,21,Pipeline_diameter_1.6,FR,UK,46.0598447393655
2050,107,Pipeline_diameter_1.6,DK,DE,12.370969121801448
2040,116,Pipeline_diameter_1.6,UK,FR,9.610761298166112
2050,19,Pipeline_diameter_1.6,UK,FR,11.61243226530446
2040,60,Pipeline_diameter_1.6,FR,UK,7.051806803291039
2050,108,Pipeline_diameter_1.6,DK,DE,16.32031165763891
2040,120,Pipeline_diameter_1.6,DK,DE,53.38898767289619
2040,114,Pipeline_diameter_1.6,UK,FR,16.901041130425753
2050,23,Pipeline_diameter_1.6,NO,DK,47.104321187097966
2040,117,Pipeline_diameter_1.6,DK,DE,71.98113065354137
2050,20,Pipeline_diameter_1.6,UK,FR,11.804068950562785
2050,21,Pipeline_diameter_1.6,DK,DE,38.243223779713084
2040,30,Pipeline_diameter_1.6,FR,UK,4.10083125453014
2040,118,Pipeline_diameter_1.6,DK,DE,66.07735157646079
2040,43,Pipeline_diameter_1.6,FR,UK,14.513602374215282
2040,112,Pipeline_diameter_1.6,UK,FR,32.3744855225536
2050,115,Pipeline_diameter_1.6,NO,DK,45.72021967998487
