Year,Region,CO2_Storage,value
2040,DE,Saline_aquifer_offshore,912.0
2050,DE,Saline_aquifer_offshore,912.0
2040,FR,Saline_aquifer_offshore,304.0
2050,FR,Saline_aquifer_offshore,304.0
2040,DK,Saline_aquifer_offshore,192.0
2050,DK,Saline_aquifer_offshore,192.0
2050,UK,Saline_aquifer_offshore,1179.35473476064
2040,DE,Saline_aquifer_onshore,608.0
2050,DE,Saline_aquifer_onshore,608.0
2030,FR,Saline_aquifer_onshore,330.68883010463617
2040,FR,Saline_aquifer_onshore,2304.0
2050,FR,Saline_aquifer_onshore,2304.0
2040,NO,Depleted_hydrocarbon_fields_offshore,704.6829935632182
2050,NO,Depleted_hydrocarbon_fields_offshore,1904.0
2040,UK,Depleted_hydrocarbon_fields_offshore,1150.3006591926628
2050,UK,Depleted_hydrocarbon_fields_offshore,1248.0
2040,NO,Depleted_hydrocarbon_fields_onshore,256.0
2050,NO,Depleted_hydrocarbon_fields_onshore,256.0
2040,DK,Depleted_hydrocarbon_fields_onshore,400.0
2050,DK,Depleted_hydrocarbon_fields_onshore,400.0
