Year,Region,Hour,Technology,Fuel,value
2040,FR,1,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,1,CoalCHPPlant_CCS,Stored_CO2,2.5456618705967213
2040,FR,2,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,2,CoalCHPPlant_CCS,Stored_CO2,2.569475870596722
2040,FR,3,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,3,CoalCHPPlant_CCS,Stored_CO2,2.5853518705967216
2040,UK,3,CoalCHPPlant_CCS,Stored_CO2,0.779246999999998
2050,UK,3,CoalCHPPlant_CCS,Stored_CO2,38.17592572499999
2040,FR,4,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,4,CoalCHPPlant_CCS,Stored_CO2,2.365733870596722
2050,UK,4,CoalCHPPlant_CCS,Stored_CO2,35.441383949999995
2040,FR,5,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,5,CoalCHPPlant_CCS,Stored_CO2,3.7493819999999998
2050,UK,5,CoalCHPPlant_CCS,Stored_CO2,32.017823775
2040,FR,6,CoalCHPPlant_CCS,Stored_CO2,10.904862857142856
2050,FR,6,CoalCHPPlant_CCS,Stored_CO2,1.3820544460759265
2040,NO,6,CoalCHPPlant_CCS,Stored_CO2,3.582684
2050,UK,6,CoalCHPPlant_CCS,Stored_CO2,28.89570915
2040,FR,7,CoalCHPPlant_CCS,Stored_CO2,9.811368
2040,NO,7,CoalCHPPlant_CCS,Stored_CO2,3.513888
2050,NO,7,CoalCHPPlant_CCS,Stored_CO2,1.5342910744673324
2050,UK,7,CoalCHPPlant_CCS,Stored_CO2,26.484144749999995
2040,FR,8,CoalCHPPlant_CCS,Stored_CO2,10.583562857142857
2040,NO,8,CoalCHPPlant_CCS,Stored_CO2,3.513888
2050,UK,8,CoalCHPPlant_CCS,Stored_CO2,22.786609768272733
2040,FR,9,CoalCHPPlant_CCS,Stored_CO2,9.414468
2040,NO,9,CoalCHPPlant_CCS,Stored_CO2,3.590622
2050,UK,9,CoalCHPPlant_CCS,Stored_CO2,6.864345047363636
2040,FR,10,CoalCHPPlant_CCS,Stored_CO2,8.922312
2040,NO,10,CoalCHPPlant_CCS,Stored_CO2,3.5244720000000003
2040,UK,10,CoalCHPPlant_CCS,Stored_CO2,10.127765952000004
2040,FR,11,CoalCHPPlant_CCS,Stored_CO2,8.676234
2040,NO,11,CoalCHPPlant_CCS,Stored_CO2,3.490074
2050,NO,11,CoalCHPPlant_CCS,Stored_CO2,3.6259354319771893
2040,UK,11,CoalCHPPlant_CCS,Stored_CO2,0.8226198525454606
2040,FR,12,CoalCHPPlant_CCS,Stored_CO2,8.37459
2040,NO,12,CoalCHPPlant_CCS,Stored_CO2,3.4424460000000003
2050,NO,12,CoalCHPPlant_CCS,Stored_CO2,3.6145683
2050,DK,12,CoalCHPPlant_CCS,Stored_CO2,0.26144108797997134
2040,UK,12,CoalCHPPlant_CCS,Stored_CO2,12.75148113345454
2040,FR,13,CoalCHPPlant_CCS,Stored_CO2,9.361037623875003
2040,NO,13,CoalCHPPlant_CCS,Stored_CO2,3.550932
2050,NO,13,CoalCHPPlant_CCS,Stored_CO2,3.7284786
2040,DK,13,CoalCHPPlant_CCS,Stored_CO2,10.087434868827321
2050,DK,13,CoalCHPPlant_CCS,Stored_CO2,11.168766000000002
2040,UK,13,CoalCHPPlant_CCS,Stored_CO2,23.3158905
2050,UK,13,CoalCHPPlant_CCS,Stored_CO2,24.481685024999997
2040,FR,14,CoalCHPPlant_CCS,Stored_CO2,8.35714285714286
2050,FR,14,CoalCHPPlant_CCS,Stored_CO2,9.960205500000002
2040,NO,14,CoalCHPPlant_CCS,Stored_CO2,3.6408959999999997
2040,DK,14,CoalCHPPlant_CCS,Stored_CO2,10.970316
2050,DK,14,CoalCHPPlant_CCS,Stored_CO2,11.3005368
2040,UK,14,CoalCHPPlant_CCS,Stored_CO2,24.587293499999998
2050,UK,14,CoalCHPPlant_CCS,Stored_CO2,25.816658174999997
2050,DE,15,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,15,CoalCHPPlant_CCS,Stored_CO2,8.35714285714286
2050,FR,15,CoalCHPPlant_CCS,Stored_CO2,10.4853042
2040,NO,15,CoalCHPPlant_CCS,Stored_CO2,3.712338
2040,DK,15,CoalCHPPlant_CCS,Stored_CO2,11.23227
2050,DK,15,CoalCHPPlant_CCS,Stored_CO2,11.7938835
2040,UK,15,CoalCHPPlant_CCS,Stored_CO2,25.899709500000004
2050,UK,15,CoalCHPPlant_CCS,Stored_CO2,27.194694975
2040,FR,16,CoalCHPPlant_CCS,Stored_CO2,8.364172045648337
2040,NO,16,CoalCHPPlant_CCS,Stored_CO2,3.77055
2050,NO,16,CoalCHPPlant_CCS,Stored_CO2,3.9590775
2040,DK,16,CoalCHPPlant_CCS,Stored_CO2,11.438657999999998
2050,DK,16,CoalCHPPlant_CCS,Stored_CO2,12.010590899999999
2040,UK,16,CoalCHPPlant_CCS,Stored_CO2,29.049158829258726
2050,UK,16,CoalCHPPlant_CCS,Stored_CO2,28.357413525
2050,DE,17,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,17,CoalCHPPlant_CCS,Stored_CO2,9.971000867142859
2050,FR,17,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,17,CoalCHPPlant_CCS,Stored_CO2,3.7044
2040,DK,17,CoalCHPPlant_CCS,Stored_CO2,11.23227
2050,DK,17,CoalCHPPlant_CCS,Stored_CO2,11.7938835
2040,UK,17,CoalCHPPlant_CCS,Stored_CO2,42.490390446133325
2050,UK,17,CoalCHPPlant_CCS,Stored_CO2,29.541663899999996
2040,FR,18,CoalCHPPlant_CCS,Stored_CO2,10.96875
2050,FR,18,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,18,CoalCHPPlant_CCS,Stored_CO2,3.7282139999999995
2050,NO,18,CoalCHPPlant_CCS,Stored_CO2,3.9146247
2040,DK,18,CoalCHPPlant_CCS,Stored_CO2,11.319588
2050,DK,18,CoalCHPPlant_CCS,Stored_CO2,11.667272399999998
2040,UK,18,CoalCHPPlant_CCS,Stored_CO2,36.14769722693333
2050,UK,18,CoalCHPPlant_CCS,Stored_CO2,30.187618649999997
2050,DE,19,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,19,CoalCHPPlant_CCS,Stored_CO2,8.35714285714286
2040,NO,19,CoalCHPPlant_CCS,Stored_CO2,4.572200599877061
2040,DK,19,CoalCHPPlant_CCS,Stored_CO2,11.414844
2050,DK,19,CoalCHPPlant_CCS,Stored_CO2,11.9855862
2040,UK,19,CoalCHPPlant_CCS,Stored_CO2,34.681738086133336
2050,UK,19,CoalCHPPlant_CCS,Stored_CO2,30.747446099999998
2050,DE,20,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,20,CoalCHPPlant_CCS,Stored_CO2,8.35714285714286
2050,FR,20,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,20,CoalCHPPlant_CCS,Stored_CO2,5.611081954933335
2050,NO,20,CoalCHPPlant_CCS,Stored_CO2,4.0702095
2040,DK,20,CoalCHPPlant_CCS,Stored_CO2,11.835557999999999
2050,DK,20,CoalCHPPlant_CCS,Stored_CO2,12.4273359
2040,UK,20,CoalCHPPlant_CCS,Stored_CO2,41.89161292133333
2050,UK,20,CoalCHPPlant_CCS,Stored_CO2,31.221146249999997
2040,DE,21,CoalCHPPlant_CCS,Stored_CO2,7.3125
2050,DE,21,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,21,CoalCHPPlant_CCS,Stored_CO2,8.35714285714286
2050,FR,21,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,21,CoalCHPPlant_CCS,Stored_CO2,4.271430309999998
2050,NO,21,CoalCHPPlant_CCS,Stored_CO2,4.0896576
2040,DK,21,CoalCHPPlant_CCS,Stored_CO2,11.906999999999998
2050,DK,21,CoalCHPPlant_CCS,Stored_CO2,12.50235
2040,UK,21,CoalCHPPlant_CCS,Stored_CO2,46.075711371333334
2050,UK,21,CoalCHPPlant_CCS,Stored_CO2,31.694846399999996
2040,DE,22,CoalCHPPlant_CCS,Stored_CO2,7.3125
2050,DE,22,CoalCHPPlant_CCS,Stored_CO2,7.3125
2040,FR,22,CoalCHPPlant_CCS,Stored_CO2,10.96875
2050,FR,22,CoalCHPPlant_CCS,Stored_CO2,10.96875
2040,NO,22,CoalCHPPlant_CCS,Stored_CO2,4.140999481882111
