Year,Region,Technology,value
2020,FR,GasPowerPlant,1527.821240854189
2030,FR,GasPowerPlant,588.6628494086295
2020,NO,GasPowerPlant,614.0039476606166
2030,NO,GasPowerPlant,276.89557375205356
2020,UK,GasPowerPlant,87.03149952833331
2030,UK,GasPowerPlant,1.655678355666673
2020,DE,GasCHPPlant,5546.865437700564
2030,DE,GasCHPPlant,5337.598279962856
2040,DE,GasCHPPlant,1536.5559899999996
2020,FR,GasCHPPlant,1990.2074145394408
2030,FR,GasCHPPlant,1690.0831056331951
2040,FR,GasCHPPlant,4.368510000000001
2020,NO,GasCHPPlant,782.699447548478
2030,NO,GasCHPPlant,669.0494876570564
2040,NO,GasCHPPlant,10.74136086268852
2020,DK,GasCHPPlant,1412.34881642351
2030,DK,GasCHPPlant,1332.5399520868136
2040,DK,GasCHPPlant,221.57873335379358
2020,UK,GasCHPPlant,4320.310669578634
2030,UK,GasCHPPlant,4005.5588706119297
2040,UK,GasCHPPlant,452.305035
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,546.9022186537878
2020,FR,LPGCar,999.8700000000005
2030,FR,LPGCar,1149.8505000000002
2040,FR,LPGCar,339.56254490575407
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,67.56468589727274
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,61.2892172879507
2020,UK,LPGCar,899.883
2030,UK,LPGCar,1034.8654500000007
2040,UK,LPGCar,178.85199033939395
2050,NO,BiomassPowerPlant_CCS,-17.39873404213806
2050,DK,BiomassPowerPlant_CCS,-7.596385443563108
2040,DE,Pipeline_diameter_1.6,0.14716176496540762
2050,DE,Pipeline_diameter_1.6,0.2835010967617053
2040,FR,Pipeline_diameter_1.6,0.06586185661361926
2050,FR,Pipeline_diameter_1.6,0.11009681750566402
2040,DK,Pipeline_diameter_1.6,0.19351082088775037
2050,DK,Pipeline_diameter_1.6,0.5084215529510432
2030,UK,Pipeline_diameter_1.6,0.01651046982278054
2040,UK,Pipeline_diameter_1.6,0.3108502481792268
2040,DE,Saline_aquifer_offshore,1.6841179645425681
2050,DE,Saline_aquifer_offshore,10.914298400733227
2040,FR,Saline_aquifer_offshore,0.5016285348670465
2050,FR,Saline_aquifer_offshore,3.6375384188039317
2040,DK,Saline_aquifer_offshore,0.4537390188123443
2050,DK,Saline_aquifer_offshore,2.297949929261224
2050,UK,Saline_aquifer_offshore,8.172526937659082
2040,DE,Saline_aquifer_onshore,4.961183007549152
2050,DE,Saline_aquifer_onshore,7.2764133794541825
2030,FR,Saline_aquifer_onshore,0.5310890482949486
2040,FR,Saline_aquifer_onshore,21.06307535505567
2050,FR,Saline_aquifer_onshore,27.572790451147632
2040,NO,Depleted_hydrocarbon_fields_offshore,0.5832495414030897
2050,NO,Depleted_hydrocarbon_fields_offshore,14.331464770625704
2040,UK,Depleted_hydrocarbon_fields_offshore,2.3521276537125795
2050,UK,Depleted_hydrocarbon_fields_offshore,14.87587317068804
2040,NO,Depleted_hydrocarbon_fields_onshore,2.17849051561285
2050,NO,Depleted_hydrocarbon_fields_onshore,3.0672692715123566
2040,DK,Depleted_hydrocarbon_fields_onshore,3.1635321313184903
2050,DK,Depleted_hydrocarbon_fields_onshore,4.790013961350841
