Year,Region,Technology,value
2020,DE,SolarPV,98.0
2030,DE,SolarPV,136.0
2040,DE,SolarPV,198.0
2050,DE,SolarPV,274.58633491535556
2020,FR,SolarPV,130.0
2030,FR,SolarPV,179.0
2040,FR,SolarPV,246.0
2050,FR,SolarPV,567.6023660194921
2020,NO,SolarPV,17.0
2030,NO,SolarPV,23.0
2040,NO,SolarPV,34.0
2050,NO,SolarPV,26.375
2020,DK,SolarPV,30.0
2030,DK,SolarPV,41.0
2040,DK,SolarPV,60.0
2050,DK,SolarPV,42.5
2020,UK,SolarPV,58.0
2030,UK,SolarPV,81.0
2040,UK,SolarPV,130.0
2050,UK,SolarPV,97.0
2020,DE,CoalMine,-0.0
2030,DE,CoalMine,-0.0
2040,DE,CoalMine,-0.0
2050,DE,CoalMine,-0.0
2020,FR,CoalMine,-0.0
2030,FR,CoalMine,-0.0
2040,FR,CoalMine,-0.0
2050,FR,CoalMine,-0.0
2020,NO,CoalMine,-0.0
2030,NO,CoalMine,-0.0
2040,NO,CoalMine,-0.0
2050,NO,CoalMine,-0.0
2020,DK,CoalMine,-0.0
2030,DK,CoalMine,-0.0
2040,DK,CoalMine,-0.0
2050,DK,CoalMine,-0.0
2020,UK,CoalMine,150.5109600648984
2030,UK,CoalMine,144.26589142761114
2040,UK,CoalMine,118.82208341638687
2050,UK,CoalMine,100.07208341638687
2020,DE,GasExtractor,150.0
2030,DE,GasExtractor,156.2215761997232
2040,DE,GasExtractor,172.52255429958475
2050,DE,GasExtractor,192.74708685004535
2020,FR,GasExtractor,-0.0
2030,FR,GasExtractor,-0.0
2040,FR,GasExtractor,-0.0
2050,FR,GasExtractor,-0.0
2020,NO,GasExtractor,120.0
2030,NO,GasExtractor,90.0
2040,NO,GasExtractor,44.0728616763016
2050,NO,GasExtractor,26.901374735901964
2020,DK,GasExtractor,-0.0
2030,DK,GasExtractor,-0.0
2040,DK,GasExtractor,-0.0
2050,DK,GasExtractor,-0.0
2020,UK,GasExtractor,-0.0
2030,UK,GasExtractor,-0.0
2040,UK,GasExtractor,-0.0
2050,UK,GasExtractor,-0.0
2020,DE,CoalPowerPlant,0.0
2030,DE,CoalPowerPlant,-0.0
2040,DE,CoalPowerPlant,-0.0
2050,DE,CoalPowerPlant,0.0
2020,FR,CoalPowerPlant,6.559883684000006
2030,FR,CoalPowerPlant,6.918600000000001
2040,FR,CoalPowerPlant,6.918600000000001
2050,FR,CoalPowerPlant,6.918600000000001
2020,NO,CoalPowerPlant,0.0
2030,NO,CoalPowerPlant,-0.0
2040,NO,CoalPowerPlant,-0.0
2050,NO,CoalPowerPlant,0.0
2020,DK,CoalPowerPlant,0.0
2030,DK,CoalPowerPlant,-0.0
2040,DK,CoalPowerPlant,0.0
2050,DK,CoalPowerPlant,0.0
2020,UK,CoalPowerPlant,20.571086773376578
2030,UK,CoalPowerPlant,25.879473046909226
2040,UK,CoalPowerPlant,25.879473046909226
2050,UK,CoalPowerPlant,25.879473046909226
2020,DE,GasPowerPlant,0.0
2030,DE,GasPowerPlant,-0.0
2040,DE,GasPowerPlant,-0.0
2050,DE,GasPowerPlant,0.0
2020,FR,GasPowerPlant,4.0
2030,FR,GasPowerPlant,8.193068358
2040,FR,GasPowerPlant,5.943068358
2050,FR,GasPowerPlant,5.193068358
2020,NO,GasPowerPlant,30.0
2030,NO,GasPowerPlant,22.5
2040,NO,GasPowerPlant,10.692618661000001
2050,NO,GasPowerPlant,5.067618661000001
2020,DK,GasPowerPlant,0.0
2030,DK,GasPowerPlant,-0.0
2040,DK,GasPowerPlant,0.0
2050,DK,GasPowerPlant,0.0
2020,UK,GasPowerPlant,3.0
2030,UK,GasPowerPlant,2.25
2040,UK,GasPowerPlant,0.5625
2050,UK,GasPowerPlant,0.0
2020,DE,CoalCHPPlant,-0.0
2030,DE,CoalCHPPlant,-0.0
2040,DE,CoalCHPPlant,-0.0
2050,DE,CoalCHPPlant,-0.0
2020,FR,CoalCHPPlant,35.66
2030,FR,CoalCHPPlant,37.443
2040,FR,CoalCHPPlant,39.31515
