Year,Region,Technology,value
2020,FR,CoalPowerPlant,697.218054947394
2030,FR,CoalPowerPlant,717.6362899991276
2040,FR,CoalPowerPlant,147.5968847129052
2020,UK,CoalPowerPlant,2284.1331209781188
2030,UK,CoalPowerPlant,1865.6318328658222
2040,UK,CoalPowerPlant,369.55303149747107
2020,FR,GasPowerPlant,60.294
2030,FR,GasPowerPlant,62.080528405439985
2020,NO,GasPowerPlant,832.909387687378
2030,NO,GasPowerPlant,387.5159520492922
2040,NO,GasPowerPlant,197.87142860446457
2020,FR,CoalCHPPlant,3899.2283875016624
2030,FR,CoalCHPPlant,3829.862094494591
2040,FR,CoalCHPPlant,2881.153559496151
2050,FR,CoalCHPPlant,2778.188867999999
2020,DK,CoalCHPPlant,307.39869598557794
2030,DK,CoalCHPPlant,6.8039999999999665
2020,UK,CoalCHPPlant,9450.80922351628
2030,UK,CoalCHPPlant,8909.921621215424
2040,UK,CoalCHPPlant,7126.9905421815865
2050,UK,CoalCHPPlant,7177.203227250001
2020,DE,GasCHPPlant,5751.947472253142
2030,DE,GasCHPPlant,5077.91230821413
2040,DE,GasCHPPlant,4241.977681173495
2050,DE,GasCHPPlant,4167.741721499998
2020,FR,GasCHPPlant,151.4799996786667
2030,FR,GasCHPPlant,97.82161942831084
2020,NO,GasCHPPlant,590.0697842013329
2030,NO,GasCHPPlant,569.493026782
2040,NO,GasCHPPlant,549.6599793420388
2050,NO,GasCHPPlant,463.0638915
2020,DK,GasCHPPlant,1175.5459121824497
2030,DK,GasCHPPlant,1256.6106
2040,DK,GasCHPPlant,1323.0132299999996
2050,DK,GasCHPPlant,1389.1638914999987
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2050,DE,LPGCar,1672.5406631226156
2020,FR,LPGCar,836.7895670814058
2030,FR,LPGCar,1057.5719425070786
2040,FR,LPGCar,1313.4673249999996
2050,FR,LPGCar,332.17430874999997
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2050,NO,LPGCar,195.69616557835613
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,520.4381288289176
2030,UK,LPGCar,772.6807410992475
2040,UK,LPGCar,1014.0504280828986
2050,UK,LPGCar,249.0292931717214
