Year,Hour,To,From,Fuel,value
2030,48,FR,UK,Power,0.4730875835976953
2040,37,DE,DK,Power,9.822947418999995
2020,77,DE,DK,H2,3.704980962333333
2040,94,FR,UK,H2,13.020833333333334
2050,47,FR,UK,Power,7.993570447307375
2030,2,FR,DE,H2,2.916666666666666
2020,28,DE,DK,H2,0.6133373145000007
2020,44,FR,UK,H2,4.540590387333332
2030,101,DE,FR,H2,5.6636667081521015
2040,103,DE,DK,Power,8.219984003810119
2020,11,DE,DK,H2,1.7865680203333334
2040,16,FR,UK,Coal,0.02460215976917368
2020,105,NO,DK,H2,2.1982149259999995
2030,50,FR,UK,H2,2.1127228231666653
2030,27,NO,DK,H2,2.2057311667762516
2040,113,DE,DK,H2,8.235986909333334
2030,105,DE,DK,Power,0.2845326723240288
2030,93,FR,UK,H2,4.091103745666667
2030,21,DE,DK,H2,1.541640785666666
2030,35,FR,UK,H2,6.747431954433459
2030,3,FR,UK,H2,7.5
2050,110,DE,DK,H2,17.28260732540478
2050,43,FR,UK,H2,6.531403127916663
2050,43,DE,FR,Power,3.925948365359901
2020,86,FR,UK,H2,5.0
2040,60,DE,DK,H2,8.094548595636768
2030,102,DE,DK,Power,4.632927997322527
2030,30,FR,DE,H2,1.3127624659857986
2050,111,DE,DK,H2,19.53125
2050,25,DE,DK,H2,9.890801036749997
2020,50,FR,UK,H2,0.7890393783333343
2020,27,NO,DK,H2,2.5
2050,13,DE,DK,H2,19.53125
2030,28,FR,UK,H2,7.5
2020,78,UK,FR,H2,1.2155796477522645
2030,27,DE,DK,Power,10.250234663766111
2020,93,FR,UK,H2,5.0
2030,11,FR,UK,H2,5.4710085777076145
2050,44,DE,FR,H2,18.610631010249996
2030,94,FR,UK,H2,7.5
2020,35,FR,UK,H2,5.0
2020,3,FR,UK,H2,5.0
2050,16,DE,DK,H2,1.308494386250001
2020,108,FR,UK,H2,2.946189047333333
2020,30,FR,DE,H2,3.7838527964303488
2040,78,DE,DK,H2,10.485202001622806
2050,10,DE,DK,H2,17.723949289644192
2050,14,DE,DK,Power,54.87237644270703
2050,39,FR,UK,Power,1.4478318279954
2030,113,DE,DK,H2,7.156880299166667
2050,86,DK,NO,Power,3.2405394175
2050,26,DE,DK,H2,19.53125
