Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,390.62287812296296
2040,UK,Battery,48,Power,218.25435772312025
2040,DK,Battery,111,Power,-0.0
2020,DE,H2Tank,55,H2,43.857695585957366
2040,DE,Battery,5,Power,70.03802365117765
2050,DE,PHS,54,Power,474.4684616034276
2050,UK,PHS,46,Power,145.78075316457685
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,517.0109491927228
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,86.70635821096586
2020,DK,Battery,114,Power,0.07330697191562972
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,0.01608094575483831
2020,FR,H2Tank,98,H2,29.266802598739094
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,184.53669081059863
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,12.342305513990684
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,29.539179775101182
2040,FR,PHS,28,Power,168.85558332785664
2050,NO,H2Tank,44,H2,10.559083520526267
2050,FR,Battery,93,Power,10.624191987717285
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,-0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,25.0
2030,NO,H2Tank,118,H2,16.740776369325
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,15.571944910406597
2030,FR,H2Tank,83,H2,50.0
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,27.049617318738157
2040,DK,Battery,105,Power,3.7682567684310384
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,6.957977175554638
2030,DE,H2Tank,112,H2,0.0
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,4.181890182288722
2050,UK,H2Tank,7,H2,15.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,566.7178771804329
2030,DK,Battery,21,Power,1.612680661857417
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,6.959368979756899
2040,UK,PHS,58,Power,81.83489433904316
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,20.856695261033806
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,117.63334597270952
2020,DE,Battery,40,Power,0.016197152215916343
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,119.76177710701755
2050,DE,PHS,65,Power,513.9166283293375
2030,DK,Battery,15,Power,10.215224088771148
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,366.1987534120256
2040,UK,Battery,42,Power,214.05040863562408
2050,NO,H2Tank,93,H2,20.867938238289913
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,7.5
2040,DE,H2Tank,110,H2,22.177587080882013
2020,DK,Battery,86,Power,31.72702752305616
2050,DK,PHS,8,Power,89.41846108346306
2040,DK,Battery,36,Power,63.37902672638395
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,7.875
2020,DK,Battery,60,Power,49.98000299980001
2050,DK,Battery,45,Power,27.46862648652379
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,15.0
2040,UK,Battery,79,Power,135.1375750243139
2020,NO,H2Tank,91,H2,0.17870754374999803
2030,DE,H2Tank,42,H2,34.185742280350894
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,357.00968786504325
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,83.70694160288448
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,8.42598847712517
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,242.684756720715
2030,UK,Battery,110,Power,43.17581330696243
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,7.999711567593713
2020,DE,H2Tank,61,H2,37.88930956363719
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,69.6065051735156
2050,FR,H2Tank,11,H2,94.50025330571417
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,5.196553334058769
2030,NO,H2Tank,61,H2,33.421052631578945
2040,FR,H2Tank,96,H2,8.663430380345543
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,225.12873398511925
2050,DK,H2Tank,81,H2,7.5
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,3.7678799427541954
2030,FR,Battery,68,Power,7.232687338345186
2050,UK,Battery,47,Power,306.61524789183903
2040,DE,H2Tank,98,H2,6.7747166427850924
2050,NO,PHS,92,Power,328.59355757144453
2050,FR,PHS,83,Power,611.564478083738
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,281.6882751220698
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,0.0
2030,NO,H2Tank,60,H2,36.71052631578947
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,37.75386070873815
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,80.96849772791214
2050,DK,PHS,49,Power,112.77497096571581
2040,FR,Battery,30,Power,32.877152639898654
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,7.5
2030,FR,Battery,101,Power,149.70028482907267
2030,UK,Battery,8,Power,19.218853901956344
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,0.01614863115116466
2030,FR,H2Tank,106,H2,48.29318459719299
2050,NO,PHS,31,Power,257.9340893547088
2040,FR,H2Tank,29,H2,25.739830962203918
