Year,Region,Technology,value
2020,DE,SolarPV,44.0
2030,DE,SolarPV,51.5
2040,DE,SolarPV,82.25
2050,DE,SolarPV,266.25
2020,FR,SolarPV,40.0
2030,FR,SolarPV,71.5
2040,FR,SolarPV,100.75
2050,FR,SolarPV,427.75
2020,NO,SolarPV,3.5
2030,NO,SolarPV,9.375
2040,NO,SolarPV,16.0625
2050,NO,SolarPV,41.5625
2020,DK,SolarPV,12.0
2030,DK,SolarPV,15.5
2040,DK,SolarPV,25.75
2050,DK,SolarPV,78.75
2020,UK,SolarPV,22.0
2030,UK,SolarPV,32.0
2040,UK,SolarPV,62.5
2050,UK,SolarPV,305.5
2040,DE,CoalMine,19.5
2030,FR,CoalMine,26.88401442578582
2040,FR,CoalMine,2.3659855742141787
2040,NO,CoalMine,30.0
2040,DK,CoalMine,44.279928000000005
2040,UK,CoalMine,117.36034979966666
2050,UK,CoalMine,30.761726080290998
2030,DE,GasExtractor,19.572599999999994
2040,DE,GasExtractor,149.6763592935667
2020,FR,GasExtractor,76.30306517100001
2030,FR,GasExtractor,1.0673999999999921
2040,FR,GasExtractor,36.32587367233333
2040,NO,GasExtractor,31.482843265284224
2020,DK,GasExtractor,27.42322717133333
2020,UK,GasExtractor,99.42998021515098
2020,FR,GasPowerPlant,23.703065171000013
2030,DE,GasCHPPlant,48.63900000000001
2040,DE,GasCHPPlant,122.43195
2020,FR,GasCHPPlant,23.659999999999997
2030,FR,GasCHPPlant,4.783000000000001
2030,NO,GasCHPPlant,2.1020000000000003
2040,NO,GasCHPPlant,0.12356702612021664
2020,DK,GasCHPPlant,8.079999999999998
2030,DK,GasCHPPlant,7.9040000000000035
2040,DK,GasCHPPlant,15.799199999999999
2020,UK,GasCHPPlant,71.605
2030,UK,GasCHPPlant,9.580249999999992
2040,UK,GasCHPPlant,13.894687500000018
2020,DE,Power2Gas,1.7838527964303488
2030,DE,Power2Gas,9.27890966955545
2040,DE,Power2Gas,25.5372916935142
2050,DE,Power2Gas,11.077794763743732
2020,FR,Power2Gas,2.278068968000003
2030,FR,Power2Gas,14.638597698666661
2040,FR,Power2Gas,14.354166666666671
2050,FR,Power2Gas,26.28684141504444
2030,NO,Power2Gas,0.4629612254999982
2040,NO,Power2Gas,8.234765285208336
2050,NO,Power2Gas,4.472502201854166
2030,DK,Power2Gas,5.958333333333334
2040,DK,Power2Gas,6.990883975532293
2050,DK,Power2Gas,11.040579449051043
2030,UK,Power2Gas,7.624770644527768
2040,UK,Power2Gas,16.400711327403382
2050,UK,Power2Gas,27.34784018265218
2040,DE,BEV,32.39067
2050,DE,BEV,4.858600500000001
2040,FR,BEV,21.742225
2050,FR,BEV,9.29883375
2040,NO,BEV,4.453717125000001
