Year,Region,Technology,value
2020,DE,SolarPV,38.0
2030,DE,SolarPV,53.0
2040,DE,SolarPV,84.5
2050,DE,SolarPV,137.08633491535556
2020,FR,SolarPV,30.0
2030,FR,SolarPV,74.0
2040,FR,SolarPV,104.5
2050,FR,SolarPV,389.10236601949214
2020,NO,SolarPV,2.0
2030,NO,SolarPV,9.75
2040,NO,SolarPV,16.625
2050,NO,SolarPV,0.0
2020,DK,SolarPV,10.0
2030,DK,SolarPV,16.0
2040,DK,SolarPV,26.5
2050,DK,SolarPV,0.0
2020,UK,SolarPV,18.0
2030,UK,SolarPV,33.0
2040,UK,SolarPV,64.0
2050,UK,SolarPV,0.0
2020,DE,CoalMine,-0.0
2030,DE,CoalMine,0.0
2040,DE,CoalMine,0.0
2050,DE,CoalMine,0.0
2020,FR,CoalMine,-0.0
2030,FR,CoalMine,0.0
2040,FR,CoalMine,0.0
2050,FR,CoalMine,0.0
2020,NO,CoalMine,-0.0
2030,NO,CoalMine,0.0
2040,NO,CoalMine,0.0
2050,NO,CoalMine,0.0
2020,DK,CoalMine,-0.0
2030,DK,CoalMine,0.0
2040,DK,CoalMine,0.0
2050,DK,CoalMine,0.0
2020,UK,CoalMine,50.5109600648984
2030,UK,CoalMine,18.75493136271274
2040,UK,CoalMine,30.806191988775737
2050,UK,CoalMine,0.0
2020,DE,GasExtractor,0.0
2030,DE,GasExtractor,43.72157619972319
2040,DE,GasExtractor,100.67597809986157
2050,DE,GasExtractor,48.349532550460594
2020,FR,GasExtractor,-0.0
2030,FR,GasExtractor,0.0
2040,FR,GasExtractor,0.0
2050,FR,GasExtractor,0.0
2020,NO,GasExtractor,0.0
2030,NO,GasExtractor,0.0
2040,NO,GasExtractor,21.5728616763016
2050,NO,GasExtractor,5.328513059600365
2020,DK,GasExtractor,-0.0
2030,DK,GasExtractor,0.0
2040,DK,GasExtractor,0.0
2050,DK,GasExtractor,0.0
2020,UK,GasExtractor,-0.0
2030,UK,GasExtractor,0.0
2040,UK,GasExtractor,0.0
2050,UK,GasExtractor,0.0
2020,DE,CoalPowerPlant,-0.0
2030,DE,CoalPowerPlant,-0.0
2040,DE,CoalPowerPlant,0.0
2050,DE,CoalPowerPlant,0.0
2020,FR,CoalPowerPlant,6.559883684000006
2030,FR,CoalPowerPlant,0.3587163159999953
2040,FR,CoalPowerPlant,0.0
2050,FR,CoalPowerPlant,0.0
2020,NO,CoalPowerPlant,-0.0
2030,NO,CoalPowerPlant,0.0
2040,NO,CoalPowerPlant,0.0
2050,NO,CoalPowerPlant,0.0
2020,DK,CoalPowerPlant,-0.0
2030,DK,CoalPowerPlant,0.0
2040,DK,CoalPowerPlant,0.0
2050,DK,CoalPowerPlant,0.0
2020,UK,CoalPowerPlant,20.571086773376578
2030,UK,CoalPowerPlant,5.308386273532648
2040,UK,CoalPowerPlant,0.0
2050,UK,CoalPowerPlant,0.0
2020,DE,GasPowerPlant,-0.0
2030,DE,GasPowerPlant,0.0
2040,DE,GasPowerPlant,0.0
2050,DE,GasPowerPlant,0.0
2020,FR,GasPowerPlant,0.0
2030,FR,GasPowerPlant,5.193068358
2040,FR,GasPowerPlant,0.0
2050,FR,GasPowerPlant,0.0
2020,NO,GasPowerPlant,0.0
2030,NO,GasPowerPlant,0.0
2040,NO,GasPowerPlant,5.067618661000001
2050,NO,GasPowerPlant,0.0
2020,DK,GasPowerPlant,-0.0
2030,DK,GasPowerPlant,0.0
2040,DK,GasPowerPlant,0.0
2050,DK,GasPowerPlant,0.0
2020,UK,GasPowerPlant,0.0
2030,UK,GasPowerPlant,0.0
2040,UK,GasPowerPlant,0.0
2050,UK,GasPowerPlant,0.0
2020,DE,CoalCHPPlant,-0.0
2030,DE,CoalCHPPlant,-0.0
2040,DE,CoalCHPPlant,0.0
2050,DE,CoalCHPPlant,-0.0
2020,FR,CoalCHPPlant,15.659999999999997
2030,FR,CoalCHPPlant,6.783000000000001
2040,FR,CoalCHPPlant,13.122150000000005
2050,FR,CoalCHPPlant,5.715757500000002
2020,NO,CoalCHPPlant,-0.0
2030,NO,CoalCHPPlant,0.0
2040,NO,CoalCHPPlant,0.0
2050,NO,CoalCHPPlant,-0.0
2020,DK,CoalCHPPlant,0.0
2030,DK,CoalCHPPlant,0.0
2040,DK,CoalCHPPlant,0.0
2050,DK,CoalCHPPlant,-0.0
2020,UK,CoalCHPPlant,0.0
2030,UK,CoalCHPPlant,21.185249999999996
2040,UK,CoalCHPPlant,61.0592625
2050,UK,CoalCHPPlant,23.799725624999994
2020,DE,GasCHPPlant,0.0
2030,DE,GasCHPPlant,48.63900000000001
2040,DE,GasCHPPlant,122.43195
2050,DE,GasCHPPlant,47.92854750000001
2020,FR,GasCHPPlant,0.0
2030,FR,GasCHPPlant,1.827
2040,FR,GasCHPPlant,0.0
2050,FR,GasCHPPlant,0.0
2020,NO,GasCHPPlant,0.0
2030,NO,GasCHPPlant,2.1020000000000003
2040,NO,GasCHPPlant,7.3050999999999995
2050,NO,GasCHPPlant,2.8328550000000003
2020,DK,GasCHPPlant,0.0
2030,DK,GasCHPPlant,14.640000000000008
2040,DK,GasCHPPlant,17.143199999999993
2050,DK,GasCHPPlant,6.511035
2020,UK,GasCHPPlant,0.0
2030,UK,GasCHPPlant,0.0
2040,UK,GasCHPPlant,0.0
2050,UK,GasCHPPlant,-0.0
2020,DE,Power2Gas,0.0
2030,DE,Power2Gas,9.75
2040,DE,Power2Gas,24.922580889219304
2050,DE,Power2Gas,19.43941846462576
2020,FR,Power2Gas,0.0
2030,FR,Power2Gas,9.416666666666664
2040,FR,Power2Gas,14.08370148306426
2050,FR,Power2Gas,23.98258152234412
2020,NO,Power2Gas,0.0
2030,NO,Power2Gas,0.4629612254999991
2040,NO,Power2Gas,6.972826442500001
2050,NO,Power2Gas,0.0
2020,DK,Power2Gas,0.0
2030,DK,Power2Gas,2.882221418589184
2040,DK,Power2Gas,14.238026296910816
2050,DK,Power2Gas,0.0
2020,UK,Power2Gas,0.0
2030,UK,Power2Gas,6.424283990833331
2040,UK,Power2Gas,19.933462788619842
2050,UK,Power2Gas,0.0
2020,DE,H2Car,-0.0
2030,DE,H2Car,0.0
2040,DE,H2Car,0.0
2050,DE,H2Car,0.0
2020,FR,H2Car,-0.0
2030,FR,H2Car,0.0
2040,FR,H2Car,0.0
2050,FR,H2Car,0.0
2020,NO,H2Car,-0.0
2030,NO,H2Car,0.0
2040,NO,H2Car,0.0
2050,NO,H2Car,0.0
2020,DK,H2Car,-0.0
2030,DK,H2Car,0.0
2040,DK,H2Car,0.0
2050,DK,H2Car,0.0
2020,UK,H2Car,-0.0
2030,UK,H2Car,0.0
2040,UK,H2Car,0.0
2050,UK,H2Car,0.0
2020,DE,BEV,-0.0
2030,DE,BEV,-0.0
2040,DE,BEV,0.0
2050,DE,BEV,12.624388224179482
2020,FR,BEV,0.9715000000000025
2030,FR,BEV,0.0
2040,FR,BEV,0.0
2050,FR,BEV,31.04105875
2020,NO,BEV,-0.0
2030,NO,BEV,0.0
2040,NO,BEV,0.0
2050,NO,BEV,2.7503503499999997
2020,DK,BEV,-0.0
2030,DK,BEV,0.0
2040,DK,BEV,0.0
2050,DK,BEV,5.587390575000001
2020,UK,BEV,1.3689999999999998
2030,UK,BEV,3.5832648363705246
2040,UK,BEV,3.5797616281537117
2050,UK,BEV,24.357191246846288
2020,DE,LPGCar,0.0
2030,DE,LPGCar,9.4158
2040,DE,LPGCar,22.97487
2050,DE,LPGCar,14.274400500000002
2020,FR,LPGCar,0.0
2030,FR,LPGCar,9.930499999999999
2040,FR,LPGCar,15.289575000000003
2050,FR,LPGCar,13.713511249999996
2020,NO,LPGCar,0.0
2030,NO,LPGCar,0.8727975000000003
2040,NO,LPGCar,3.5809196250000004
2050,NO,LPGCar,1.2045896062499994
2020,DK,LPGCar,0.0
2030,DK,LPGCar,1.2248700000000001
2040,DK,LPGCar,3.6337305000000004
2050,DK,LPGCar,0.0
2020,UK,LPGCar,0.0
2030,UK,LPGCar,4.794208489200001
2040,UK,LPGCar,12.2263665108
2050,UK,LPGCar,3.1069594526118287
2020,DE,BiomassGenerator,0.0
2030,DE,BiomassGenerator,0.0
2040,DE,BiomassGenerator,0.0
2050,DE,BiomassGenerator,0.0
2020,FR,BiomassGenerator,0.0
2030,FR,BiomassGenerator,0.0
2040,FR,BiomassGenerator,0.0
2050,FR,BiomassGenerator,0.0
2020,NO,BiomassGenerator,0.0
2030,NO,BiomassGenerator,0.0
2040,NO,BiomassGenerator,0.0
2050,NO,BiomassGenerator,0.0
2020,DK,BiomassGenerator,0.0
2030,DK,BiomassGenerator,0.0
2040,DK,BiomassGenerator,0.0
2050,DK,BiomassGenerator,0.0
2020,UK,BiomassGenerator,0.0
2030,UK,BiomassGenerator,0.0
2040,UK,BiomassGenerator,0.0
2050,UK,BiomassGenerator,0.0
2020,DE,BECCS,-0.0
2030,DE,BECCS,0.0
2040,DE,BECCS,0.0
2050,DE,BECCS,0.0
2020,FR,BECCS,-0.0
2030,FR,BECCS,0.0
2040,FR,BECCS,0.0
2050,FR,BECCS,0.0
2020,NO,BECCS,-0.0
2030,NO,BECCS,0.0
2040,NO,BECCS,0.0
2050,NO,BECCS,0.0
2020,DK,BECCS,-0.0
2030,DK,BECCS,0.0
2040,DK,BECCS,0.0
2050,DK,BECCS,0.0
2020,UK,BECCS,-0.0
2030,UK,BECCS,0.0
2040,UK,BECCS,0.0
2050,UK,BECCS,0.0
2020,DE,WindOnshore,25.0
2030,DE,WindOnshore,27.0
2040,DE,WindOnshore,32.0
2050,DE,WindOnshore,71.0
2020,FR,WindOnshore,24.0
2030,FR,WindOnshore,37.0
2040,FR,WindOnshore,56.5
2050,FR,WindOnshore,86.5
2020,NO,WindOnshore,-0.0
2030,NO,WindOnshore,13.5
2040,NO,WindOnshore,15.75
2050,NO,WindOnshore,12.757685946095165
2020,DK,WindOnshore,-0.0
2030,DK,WindOnshore,19.75
2040,DK,WindOnshore,24.625
2050,DK,WindOnshore,0.0
2020,UK,WindOnshore,10.0
2030,UK,WindOnshore,43.0
2040,UK,WindOnshore,68.0
2050,UK,WindOnshore,99.0
2020,DE,ElectricHeater,-0.0
2030,DE,ElectricHeater,-0.0
2040,DE,ElectricHeater,0.0
2050,DE,ElectricHeater,0.0
2020,FR,ElectricHeater,-0.0
2030,FR,ElectricHeater,0.0
