Year,Region,Hour,Technology,Fuel,value
2020,DE,4,SolarPV,Power,1.191130024
2030,DE,4,SolarPV,Power,1.652996768
2040,DE,4,SolarPV,Power,2.4065688240000003
2050,DE,4,SolarPV,Power,4.8617552
2020,DK,4,SolarPV,Power,1.55635374
2030,DK,4,SolarPV,Power,2.127016778
2040,DK,4,SolarPV,Power,3.11270748
2050,DK,4,SolarPV,Power,6.22541496
2020,DE,5,SolarPV,Power,8.860987128
2030,DE,5,SolarPV,Power,12.296880096
2040,DE,5,SolarPV,Power,17.902810728
2050,DE,5,SolarPV,Power,36.1672944
2020,FR,5,SolarPV,Power,16.108867449999998
2030,FR,5,SolarPV,Power,22.180671335
2040,FR,5,SolarPV,Power,30.48293379
2050,FR,5,SolarPV,Power,74.348619
2020,NO,5,SolarPV,Power,1.135364958
2030,NO,5,SolarPV,Power,1.5360820020000001
2040,NO,5,SolarPV,Power,2.270729916
2050,NO,5,SolarPV,Power,4.474673658
2020,DK,5,SolarPV,Power,4.2623893200000005
2030,DK,5,SolarPV,Power,5.8252654040000005
2040,DK,5,SolarPV,Power,8.524778640000001
2050,DK,5,SolarPV,Power,17.049557280000002
2020,DE,6,SolarPV,Power,16.86061237
2030,DE,6,SolarPV,Power,23.39840084
2040,DE,6,SolarPV,Power,34.06531887
2050,DE,6,SolarPV,Power,68.818826
2020,FR,6,SolarPV,Power,20.701831409999997
2030,FR,6,SolarPV,Power,28.504829403
2040,FR,6,SolarPV,Power,39.174234821999995
2050,FR,6,SolarPV,Power,95.54691419999999
2020,NO,6,SolarPV,Power,1.674039317
2030,NO,6,SolarPV,Power,2.264876723
2040,NO,6,SolarPV,Power,3.348078634
2050,NO,6,SolarPV,Power,6.597684367
2020,DK,6,SolarPV,Power,2.6118081899999996
2030,DK,6,SolarPV,Power,3.5694711929999996
2040,DK,6,SolarPV,Power,5.223616379999999
2050,DK,6,SolarPV,Power,10.447232759999999
2020,UK,6,SolarPV,Power,3.158421262
2030,UK,6,SolarPV,Power,4.410898659
2040,UK,6,SolarPV,Power,7.07922007
2050,UK,6,SolarPV,Power,21.7822156
2020,DE,7,SolarPV,Power,12.388639522
2030,DE,7,SolarPV,Power,17.192397704
2040,DE,7,SolarPV,Power,25.030108421999998
2050,DE,7,SolarPV,Power,50.5658756
2020,FR,7,SolarPV,Power,26.04163367
2030,FR,7,SolarPV,Power,35.857326361
2040,FR,7,SolarPV,Power,49.278783714
2050,FR,7,SolarPV,Power,120.1921554
2020,NO,7,SolarPV,Power,0.611227367
2030,NO,7,SolarPV,Power,0.826954673
2040,NO,7,SolarPV,Power,1.222454734
2050,NO,7,SolarPV,Power,2.408954917
2020,DK,7,SolarPV,Power,1.44250599
2030,DK,7,SolarPV,Power,1.9714248529999998
2040,DK,7,SolarPV,Power,2.88501198
2050,DK,7,SolarPV,Power,5.77002396
2020,UK,7,SolarPV,Power,2.78107274
2030,UK,7,SolarPV,Power,3.8839119299999996
2040,UK,7,SolarPV,Power,6.2334388999999994
2050,UK,7,SolarPV,Power,19.179812
2020,DE,8,SolarPV,Power,11.025253036
2030,DE,8,SolarPV,Power,15.300351152000001
2040,DE,8,SolarPV,Power,22.275511236
2050,DE,8,SolarPV,Power,45.001032800000004
2020,FR,8,SolarPV,Power,24.06417026
2030,FR,8,SolarPV,Power,33.134511358
2040,FR,8,SolarPV,Power,45.536814492
2050,FR,8,SolarPV,Power,111.0654012
2020,FR,9,SolarPV,Power,17.94679965
2030,FR,9,SolarPV,Power,24.711362594999997
2040,FR,9,SolarPV,Power,33.960867029999996
2050,FR,9,SolarPV,Power,82.83138299999999
2020,FR,10,SolarPV,Power,0.39052299
2030,FR,10,SolarPV,Power,0.537720117
2040,FR,10,SolarPV,Power,0.738989658
2050,FR,10,SolarPV,Power,1.8024138
2020,DE,26,SolarPV,Power,9.315135004
2030,DE,26,SolarPV,Power,12.927126128
2040,DE,26,SolarPV,Power,18.820374804
2050,DE,26,SolarPV,Power,38.0209592
2020,FR,26,SolarPV,Power,5.25903443
2030,FR,26,SolarPV,Power,7.241285869
2040,FR,26,SolarPV,Power,9.951711306
2050,FR,26,SolarPV,Power,24.2724666
2020,NO,26,SolarPV,Power,3.201982929
2030,NO,26,SolarPV,Power,4.332094551
2040,NO,26,SolarPV,Power,6.403965858
2050,NO,26,SolarPV,Power,12.619579779
2020,DK,26,SolarPV,Power,1.13833833
2030,DK,26,SolarPV,Power,1.5557290510000001
2040,DK,26,SolarPV,Power,2.27667666
2050,DK,26,SolarPV,Power,4.55335332
2020,DE,27,SolarPV,Power,27.525394064
2030,DE,27,SolarPV,Power,38.198506048
2040,DE,27,SolarPV,Power,55.612530864
2050,DE,27,SolarPV,Power,112.3485472
2020,FR,27,SolarPV,Power,21.68618764
2030,FR,27,SolarPV,Power,29.860212212
2040,FR,27,SolarPV,Power,41.036939688
2050,FR,27,SolarPV,Power,100.0900968
2020,NO,27,SolarPV,Power,6.747452507
2030,NO,27,SolarPV,Power,9.128906333
2040,NO,27,SolarPV,Power,13.494905014
2050,NO,27,SolarPV,Power,26.592901057
2020,DK,27,SolarPV,Power,7.588112430000001
2030,DK,27,SolarPV,Power,10.370420321000001
2040,DK,27,SolarPV,Power,15.176224860000001
2050,DK,27,SolarPV,Power,30.352449720000003
2020,UK,27,SolarPV,Power,6.898408002
2030,UK,27,SolarPV,Power,9.633983589
2040,UK,27,SolarPV,Power,15.46194897
2050,UK,27,SolarPV,Power,47.5752276
