Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,773.9122961079757
2040,DK,Battery,111,Power,76.7534617571601
2020,DE,H2Tank,55,H2,56.818257525799424
2040,DE,Battery,5,Power,192.7656452548532
2050,DE,PHS,54,Power,393.6979093111693
2050,UK,PHS,46,Power,114.09201307001896
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,436.64344276370457
2050,FR,PHS,13,Power,366.8497859226878
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,544.6701951277778
2020,FR,H2Tank,98,H2,14.874888819531577
2050,FR,H2Tank,109,H2,170.39949781710277
2030,DE,H2Tank,11,H2,2.9157618346843535
2050,DE,Battery,67,Power,561.9693102701926
2050,NO,H2Tank,44,H2,90.07344680484063
2050,FR,Battery,93,Power,962.4214165686802
2020,DK,Battery,120,Power,7.145195182488513
2030,NO,H2Tank,118,H2,9.272308729891666
2050,NO,H2Tank,87,H2,83.90516319717105
2030,FR,H2Tank,83,H2,50.0
2040,DK,Battery,105,Power,67.33549643127238
2020,UK,Battery,80,Power,26.114608141331267
2030,FR,Battery,7,Power,34.388412526794596
2050,UK,H2Tank,7,H2,65.0
2050,FR,PHS,74,Power,375.80584767432856
2030,FR,Battery,119,Power,75.00750075007501
2020,UK,Battery,78,Power,11.520545060332134
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2020,DE,H2Tank,4,H2,30.0
2050,DE,Battery,60,Power,562.3628461860059
2030,UK,H2Tank,80,H2,12.0
2050,FR,H2Tank,40,H2,145.73739251924047
2050,DE,PHS,65,Power,434.030123032442
2050,NO,PHS,98,Power,361.04009181706925
2050,NO,H2Tank,93,H2,83.90516319717105
2050,DK,H2Tank,65,H2,26.2938596491228
2050,DK,PHS,8,Power,83.57131219119836
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,4.02292051026401
2020,DK,Battery,60,Power,14.288961325940528
2050,DK,Battery,45,Power,38.50907032827175
2050,UK,H2Tank,11,H2,65.0
2040,UK,Battery,79,Power,53.59240162837468
2020,NO,H2Tank,91,H2,0.3994077437499988
2030,DE,H2Tank,42,H2,36.41268908666667
2050,FR,Battery,106,Power,811.9741255984248
2050,FR,H2Tank,68,H2,109.81813723684206
2050,NO,H2Tank,54,H2,98.60219397072467
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,74.98837971274003
2040,UK,H2Tank,46,H2,4.952853988609862
2020,DE,H2Tank,61,H2,53.594386561929824
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,100.0
2020,UK,Battery,103,Power,16.17111730452642
2030,NO,H2Tank,61,H2,33.421052631578945
2020,FR,Battery,86,Power,28.788649586385823
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,7.5
2040,DK,Battery,106,Power,67.32876288162925
2050,UK,Battery,47,Power,313.65063122078317
2050,NO,PHS,92,Power,332.23018869063674
2050,FR,PHS,83,Power,432.16772159133296
2050,FR,Battery,55,Power,606.5092647610204
2030,NO,H2Tank,60,H2,36.71052631578947
2050,FR,H2Tank,76,H2,85.05835941027983
2050,DK,PHS,49,Power,59.272030622591366
2050,DK,H2Tank,41,H2,22.867324561403503
2030,FR,Battery,101,Power,72.62958815244583
2030,FR,H2Tank,106,H2,50.0
2050,NO,PHS,31,Power,210.82088507568199
2040,FR,H2Tank,29,H2,21.59572562706667
2050,UK,PHS,56,Power,133.89331830785895
2040,UK,H2Tank,4,H2,15.111420741101279
2050,NO,PHS,80,Power,289.9800107096958
2050,DE,Battery,80,Power,1043.6829468835163
2050,NO,H2Tank,114,H2,75.0
2050,FR,Battery,3,Power,368.31219934190045
2040,DE,Battery,7,Power,171.60585128642165
2050,NO,Battery,106,Power,108.48315935998603
2050,NO,PHS,4,Power,412.9614864445677
2040,UK,H2Tank,77,H2,21.375
2040,FR,H2Tank,114,H2,50.0
2020,FR,H2Tank,105,H2,35.34676924666666
2050,FR,PHS,111,Power,472.25846756999766
2050,NO,Battery,12,Power,5.94318116150873
2030,DE,H2Tank,79,H2,69.1100154042
2040,UK,Battery,97,Power,84.36630140962416
2050,DK,H2Tank,55,H2,40.0
2040,FR,H2Tank,52,H2,26.358575700416672
2050,NO,PHS,72,Power,247.34624703626676
2020,UK,H2Tank,112,H2,5.0
2050,UK,PHS,25,Power,98.18782721370974
2040,DK,Battery,63,Power,7.065500512672939
2020,FR,H2Tank,86,H2,29.05752020877193
2030,DK,Battery,70,Power,26.48436544788455
2030,UK,H2Tank,88,H2,3.1578947368421053
2030,UK,Battery,98,Power,70.58703848905147
2050,DE,H2Tank,93,H2,96.10893593736034
2050,NO,Battery,13,Power,5.94258684339258
2050,UK,H2Tank,58,H2,130.0
2030,DE,H2Tank,9,H2,2.9157618346843535
2050,DK,PHS,77,Power,78.29179563538608
2050,NO,Battery,71,Power,12.6198404409477
2030,UK,Battery,57,Power,103.73439699540603
2050,DK,H2Tank,103,H2,27.630130974548887
2050,UK,H2Tank,71,H2,27.412280701754387
2050,DE,PHS,67,Power,433.1624968165002
2050,DE,PHS,101,Power,524.806027395198
2020,UK,H2Tank,99,H2,1.3882565997982508
2050,DK,PHS,119,Power,98.5985985985986
2050,FR,PHS,92,Power,428.293733887298
2050,DE,PHS,52,Power,376.45945175522803
2050,UK,H2Tank,72,H2,13.706140350877194
2050,FR,PHS,62,Power,359.72822101130623
2050,DK,PHS,114,Power,93.0720229247481
2050,NO,Battery,116,Power,156.29459144195812
2040,FR,H2Tank,28,H2,5.957467560433337
2030,DK,Battery,79,Power,21.643949348818573
2050,DK,H2Tank,97,H2,16.78375019975723
2030,NO,H2Tank,27,H2,0.24720267326244094
2030,UK,H2Tank,39,H2,12.0
2040,DE,H2Tank,59,H2,130.0
2030,DK,Battery,82,Power,38.60443546321582
2050,DK,Battery,48,Power,13.70679167762519
2040,DE,Battery,13,Power,95.85540240534021
2040,DK,Battery,57,Power,12.464978744182913
2050,DE,Battery,42,Power,72.30271287298031
2040,FR,Battery,66,Power,23.456644704786576
2020,UK,H2Tank,116,H2,5.0
2050,DE,H2Tank,28,H2,34.25381912782497
2050,DK,H2Tank,87,H2,29.7203947368421
2020,UK,Battery,101,Power,16.174352013185537
2050,DK,Battery,99,Power,602.5664423488391
2040,DE,Battery,15,Power,43.72033135575083
2030,DE,H2Tank,71,H2,8.116507689493897
2050,UK,PHS,71,Power,140.78261898918734
2050,UK,Battery,40,Power,313.8702745111677
2030,DE,Battery,81,Power,33.91681285299726
2050,UK,H2Tank,76,H2,63.605455338375
2050,FR,PHS,21,Power,285.7678278324029
2050,DE,H2Tank,45,H2,30.409248316052675
2030,DE,H2Tank,3,H2,35.0
2040,UK,H2Tank,53,H2,2.526849003283335
2040,FR,Battery,104,Power,164.26146288318824
2040,DK,Battery,14,Power,126.26372265924438
2020,FR,H2Tank,4,H2,12.982456140350877
2050,FR,H2Tank,84,H2,200.0
2040,DE,Battery,9,Power,137.02369623972342
2040,UK,Battery,112,Power,132.62059880887958
2020,DE,H2Tank,101,H2,23.608582994013577
2050,FR,H2Tank,82,H2,200.0
2050,FR,PHS,100,Power,439.87185228625566
2050,DE,Battery,3,Power,342.5222198975264
2040,FR,H2Tank,54,H2,73.85857570041668
2030,DE,H2Tank,83,H2,56.8421052631579
2050,DE,PHS,5,Power,538.2999940618113
2050,FR,H2Tank,2,H2,100.0
2030,DE,Battery,120,Power,33.78478829676683
2020,NO,H2Tank,113,H2,0.3994077437499988
2040,FR,H2Tank,30,H2,45.34572562706667
2050,DE,Battery,110,Power,600.6003301320425
2050,NO,H2Tank,76,H2,88.43994628039474
2030,UK,H2Tank,31,H2,11.399999999999999
2030,UK,H2Tank,33,H2,12.0
2040,DK,Battery,104,Power,67.34223065433781
2050,DK,H2Tank,39,H2,29.7203947368421
2050,NO,Battery,30,Power,2.463748130223893
2050,NO,Battery,87,Power,101.09405051196066
2030,FR,H2Tank,64,H2,44.29824561403509
2050,NO,H2Tank,59,H2,116.73665425705903
2020,DK,Battery,30,Power,0.06710760571952058
2050,FR,H2Tank,51,H2,66.50829053065888
2040,FR,H2Tank,46,H2,3.489172348232243
2020,DE,H2Tank,33,H2,35.98228906087719
2050,UK,PHS,79,Power,157.61535203164374
2030,DE,H2Tank,87,H2,22.104112369122817
2020,UK,Battery,77,Power,11.521697230055139
2050,DK,Battery,90,Power,605.6319072841771
2030,UK,H2Tank,61,H2,12.0
2040,DE,H2Tank,69,H2,1.2792271201879326
2040,DK,Battery,5,Power,198.68338251354578
2050,DE,H2Tank,1,H2,87.5
2040,FR,H2Tank,115,H2,50.0
2030,DK,Battery,3,Power,38.44647342305481
2040,UK,Battery,61,Power,27.15127733942406
2020,FR,H2Tank,87,H2,25.548748278947368
2030,UK,Battery,39,Power,8.167679382941989
2040,UK,H2Tank,114,H2,15.0
2050,DE,PHS,105,Power,540.993156841729
2050,UK,H2Tank,60,H2,130.0
2050,UK,PHS,98,Power,163.49568130177514
2030,NO,H2Tank,47,H2,1.4404434099423797
2040,DK,Battery,77,Power,17.68416724497727
2050,NO,PHS,18,Power,284.48778168595163
2040,FR,H2Tank,5,H2,27.58784060614035
2030,DK,Battery,87,Power,38.58513710554173
2050,DE,Battery,44,Power,72.28825305343284
2050,FR,Battery,100,Power,864.0654182334988
2050,UK,PHS,73,Power,140.50119453382794
2030,FR,Battery,81,Power,150.0
2050,UK,H2Tank,17,H2,47.81151912417632
2050,NO,Battery,58,Power,12.636257723320055
2020,UK,H2Tank,51,H2,1.555104409500004
2040,UK,H2Tank,109,H2,17.15580972578947
2050,UK,PHS,45,Power,114.20621928930828
2040,FR,H2Tank,90,H2,11.132784478256118
2020,UK,H2Tank,102,H2,6.132608447166668
2040,DK,H2Tank,28,H2,5.856587180722282
2050,NO,H2Tank,105,H2,83.90516319717105
2050,DK,Battery,46,Power,38.50521942123892
2050,DK,Battery,118,Power,600.1200180024002
2050,UK,Battery,74,Power,439.95246646068205
2020,DE,H2Tank,119,H2,30.0
2030,NO,H2Tank,117,H2,5.121092873783334
2030,FR,Battery,15,Power,17.90617295804762
2050,UK,PHS,90,Power,164.8095522702813
2030,DK,Battery,75,Power,14.230808046033287
2040,FR,H2Tank,13,H2,8.346875307229634
2020,FR,H2Tank,55,H2,36.926150571766115
2050,DE,Battery,83,Power,1045.8333475396282
2020,FR,H2Tank,25,H2,3.2904747587719263
2020,FR,Battery,79,Power,35.003500350035004
2040,UK,H2Tank,117,H2,15.0
2050,FR,PHS,61,Power,360.0883093206269
2020,FR,H2Tank,69,H2,8.939811064210527
2050,NO,H2Tank,97,H2,83.90516319717105
2030,UK,H2Tank,107,H2,11.354288226953066
2040,DK,Battery,55,Power,4.400476962881366
2020,FR,Battery,56,Power,31.371067829744185
2040,UK,Battery,11,Power,64.39313890332576
2050,FR,H2Tank,61,H2,200.0
2030,FR,H2Tank,35,H2,50.0
2050,DE,PHS,25,Power,294.56348164112984
2050,DE,H2Tank,114,H2,4.224437949988765
2050,NO,PHS,2,Power,431.4622147058824
2020,UK,Battery,56,Power,8.269243989471772
2030,DE,H2Tank,13,H2,2.9157618346843535
2030,UK,Battery,106,Power,75.0183825649631
2030,FR,Battery,118,Power,75.01500225030003
2040,FR,H2Tank,37,H2,70.48134878601695
2050,FR,Battery,14,Power,231.77032791041475
2050,FR,H2Tank,79,H2,161.7301312263309
2040,UK,Battery,89,Power,84.4338248327471
2050,FR,Battery,97,Power,864.3246897115359
2020,FR,H2Tank,45,H2,3.1328976517543805
2030,UK,H2Tank,56,H2,12.0
2050,DE,PHS,104,Power,541.5346915332623
2020,UK,Battery,4,Power,12.417403362499385
2020,DE,H2Tank,6,H2,30.0
2040,FR,H2Tank,81,H2,100.0
2040,UK,Battery,104,Power,132.72674304726107
2020,DE,H2Tank,12,H2,19.473684210526315
2020,UK,Battery,91,Power,16.190535264651842
2050,DK,Battery,80,Power,592.932092454439
2050,DK,PHS,15,Power,69.3036827969884
2030,FR,Battery,31,Power,14.092257860022753
2040,UK,H2Tank,100,H2,8.683303795956812
2050,FR,Battery,29,Power,80.17827411437813
2020,FR,H2Tank,66,H2,17.71174088877193
2020,UK,H2Tank,115,H2,5.0
2050,UK,PHS,103,Power,174.6618482149398
2030,FR,Battery,63,Power,9.452845552117648
2050,UK,H2Tank,106,H2,130.0
2020,DK,Battery,56,Power,14.290390364977027
2040,DK,H2Tank,79,H2,15.0
2040,FR,Battery,52,Power,23.11160786939998
2050,DE,PHS,43,Power,352.64760546865875
2030,FR,Battery,8,Power,34.384973685541915
2030,DE,Battery,62,Power,17.12529726667573
2050,DK,H2Tank,36,H2,40.0
2040,NO,H2Tank,119,H2,40.09809731482708
2020,FR,H2Tank,75,H2,8.304672990533332
2050,UK,PHS,19,Power,122.39100644111144
2020,UK,H2Tank,55,H2,9.58214848269441
2040,DE,Battery,12,Power,120.15090437737426
2050,FR,Battery,65,Power,682.3986029545822
2040,NO,Battery,15,Power,38.116900078221306
2020,DE,H2Tank,11,H2,19.473684210526315
2040,FR,Battery,103,Power,148.18230848593686
2050,NO,PHS,65,Power,249.08461728957977
2050,NO,H2Tank,100,H2,83.90516319717105
2040,DK,Battery,59,Power,12.462485873083866
2020,NO,H2Tank,118,H2,0.9327434959999987
2020,FR,H2Tank,83,H2,40.0
2050,DE,Battery,92,Power,915.6351902477062
2050,UK,Battery,88,Power,745.3744923805423
2050,DE,H2Tank,47,H2,9.850037789736888
2040,DE,H2Tank,52,H2,75.31996664646933
2050,DE,Battery,99,Power,646.417046826671
2050,DK,PHS,101,Power,88.27381736290248
2030,FR,Battery,83,Power,122.8642402277778
2050,DK,PHS,61,Power,73.46749445727399
2020,DE,H2Tank,112,H2,23.608582994013577
2020,FR,Battery,7,Power,8.54099291357091
2050,NO,Battery,52,Power,2.458333571803211
2020,FR,Battery,119,Power,25.002500250025
2030,DE,Battery,55,Power,44.14573743756249
2040,DK,H2Tank,120,H2,7.5
2040,UK,Battery,81,Power,94.05361017804671
2020,UK,H2Tank,79,H2,8.83208683743132
2030,FR,Battery,6,Power,34.39185171196579
2050,DE,Battery,57,Power,491.6412104964063
2050,FR,Battery,120,Power,600.0
2050,DE,PHS,119,Power,591.5915915915916
2030,UK,H2Tank,8,H2,0.795635522076855
2050,NO,H2Tank,13,H2,37.2402780489693
2020,UK,H2Tank,80,H2,10.0
2030,DE,H2Tank,74,H2,0.08900682619999713
2050,DK,Battery,107,Power,602.084557879825
2030,UK,Battery,55,Power,61.03827810160886
2040,DK,Battery,61,Power,12.459993500534107
2040,UK,H2Tank,44,H2,7.125
2050,NO,H2Tank,15,H2,16.722785035
2040,FR,H2Tank,31,H2,67.98931511685001
2040,NO,H2Tank,82,H2,8.507292148274342
2050,DE,Battery,111,Power,600.5402700990293
2020,DE,H2Tank,42,H2,10.526315789473683
2050,FR,PHS,30,Power,256.95741526963826
2040,DE,H2Tank,78,H2,116.54046855274053
2050,DK,PHS,5,Power,89.71666567696852
2040,NO,H2Tank,78,H2,11.242478273912498
2050,FR,Battery,36,Power,346.7338188581359
2050,FR,PHS,35,Power,293.10027016166066
2040,FR,Battery,112,Power,164.13009969689378
2040,UK,H2Tank,2,H2,15.111420741101279
2030,FR,Battery,94,Power,72.68044920653959
2040,FR,H2Tank,110,H2,50.0
2050,UK,PHS,84,Power,165.80187983464322
2030,DE,Battery,95,Power,33.86936016696043
2020,UK,Battery,110,Power,16.159800917781954
2020,UK,H2Tank,81,H2,10.0
2020,FR,Battery,115,Power,25.01250375087517
2030,NO,H2Tank,86,H2,26.84210526315789
2050,DE,H2Tank,116,H2,4.224437949988765
2020,NO,H2Tank,61,H2,0.4430531605999994
2050,DE,PHS,24,Power,306.6348223458286
2030,UK,H2Tank,118,H2,6.0
2050,UK,Battery,113,Power,600.4201680504123
2030,FR,Battery,16,Power,0.8983075185296097
2050,DK,H2Tank,64,H2,29.7203947368421
2050,NO,H2Tank,38,H2,94.842776328788
2050,NO,Battery,4,Power,155.81151352636036
2040,UK,H2Tank,34,H2,15.267660284241657
2050,UK,Battery,118,Power,600.1200180024002
2040,NO,H2Tank,8,H2,37.00657894736842
2040,DE,Battery,17,Power,30.19641876696408
2050,DE,Battery,97,Power,683.3330908496999
2020,NO,H2Tank,60,H2,0.4430531605999994
2040,FR,H2Tank,39,H2,43.06906808426257
2050,DK,H2Tank,83,H2,36.5734649122807
2050,DE,H2Tank,75,H2,68.53085882047272
2050,FR,PHS,19,Power,305.9775161027786
2050,UK,PHS,87,Power,165.3049714349769
2050,UK,PHS,34,Power,112.46705508660378
2050,UK,Battery,32,Power,217.80601381096977
2020,FR,Battery,101,Power,28.745496826993403
2020,UK,Battery,8,Power,8.72478857081796
2040,FR,Battery,109,Power,164.1793485762504
2020,FR,H2Tank,106,H2,31.8379973168421
2030,DE,Battery,114,Power,33.8050662664428
2050,FR,Battery,17,Power,74.7913274225296
2050,NO,H2Tank,48,H2,73.834515443788
2050,FR,Battery,102,Power,863.8926137905064
2050,DK,H2Tank,117,H2,1.0
2050,NO,H2Tank,116,H2,75.0
2030,FR,Battery,91,Power,72.7022577028554
2040,FR,Battery,61,Power,95.66004082633562
2040,DE,H2Tank,14,H2,65.0
2040,DK,H2Tank,29,H2,9.419087180722283
2040,UK,Battery,10,Power,64.39957886121188
2050,DE,Battery,66,Power,562.0255128214748
2050,FR,PHS,20,Power,295.8676170180484
2020,DE,H2Tank,79,H2,48.269086357159544
