Year,Region,Technology,value
2020,DE,SolarPV,98.0
2030,DE,SolarPV,136.0
2040,DE,SolarPV,198.0
2050,DE,SolarPV,400.0
2020,FR,SolarPV,130.0
2030,FR,SolarPV,179.0
2040,FR,SolarPV,246.0
2050,FR,SolarPV,600.0
2020,NO,SolarPV,17.0
2030,NO,SolarPV,23.0
2040,NO,SolarPV,34.0
2050,NO,SolarPV,67.0
2020,DK,SolarPV,30.0
2030,DK,SolarPV,41.0
2040,DK,SolarPV,60.0
2050,DK,SolarPV,120.0
2020,UK,SolarPV,58.0
2030,UK,SolarPV,81.0
2040,UK,SolarPV,130.0
2050,UK,SolarPV,400.0
2020,DE,CoalMine,40.0
2030,DE,CoalMine,30.0
2040,DE,CoalMine,19.5
2050,DE,CoalMine,19.5
2020,FR,CoalMine,60.0
2030,FR,CoalMine,71.88401442578582
2040,FR,CoalMine,29.25
2050,FR,CoalMine,29.25
2020,NO,CoalMine,26.0
2030,NO,CoalMine,19.5
2040,NO,CoalMine,30.0
2050,NO,CoalMine,30.0
2020,DK,CoalMine,39.0
2030,DK,CoalMine,29.25
2040,DK,CoalMine,44.279928000000005
2050,DK,CoalMine,44.279928000000005
2020,UK,CoalMine,80.0
2030,UK,CoalMine,60.0
2040,UK,CoalMine,136.11034979966666
2050,UK,CoalMine,148.12207587995766
2020,DE,GasExtractor,150.0
2030,DE,GasExtractor,132.0726
2040,DE,GasExtractor,197.37395929356668
2050,DE,GasExtractor,169.24895929356668
2020,FR,GasExtractor,76.30306517100001
2030,FR,GasExtractor,77.370465171
2040,FR,GasExtractor,113.69633884333334
2050,FR,GasExtractor,113.69633884333334
2020,NO,GasExtractor,120.0
2030,NO,GasExtractor,90.0
2040,NO,GasExtractor,53.982843265284224
2050,NO,GasExtractor,31.482843265284224
2020,DK,GasExtractor,27.42322717133333
2030,DK,GasExtractor,27.42322717133333
2040,DK,GasExtractor,27.42322717133333
2050,DK,GasExtractor,27.42322717133333
2020,UK,GasExtractor,99.42998021515098
2030,UK,GasExtractor,99.42998021515098
2040,UK,GasExtractor,99.42998021515098
2050,UK,GasExtractor,99.42998021515098
2020,DE,CoalPowerPlant,60.0
2030,DE,CoalPowerPlant,15.0
2020,FR,CoalPowerPlant,90.0
2030,FR,CoalPowerPlant,22.5
2020,NO,CoalPowerPlant,39.0
2030,NO,CoalPowerPlant,9.75
2020,DK,CoalPowerPlant,58.5
2030,DK,CoalPowerPlant,14.625
2020,UK,CoalPowerPlant,120.0
2030,UK,CoalPowerPlant,30.0
2020,FR,GasPowerPlant,31.703065171000013
2030,FR,GasPowerPlant,29.703065171000013
2040,FR,GasPowerPlant,24.453065171000013
2050,FR,GasPowerPlant,23.703065171000013
2020,NO,GasPowerPlant,60.0
2030,NO,GasPowerPlant,45.0
2040,NO,GasPowerPlant,5.625
2020,UK,GasPowerPlant,6.0
2030,UK,GasPowerPlant,4.5
2040,UK,GasPowerPlant,0.5625
2020,FR,CoalCHPPlant,20.0
2030,FR,CoalCHPPlant,15.0
2040,FR,CoalCHPPlant,3.75
2020,DK,CoalCHPPlant,10.0
2030,DK,CoalCHPPlant,7.5
2040,DK,CoalCHPPlant,1.875
2020,UK,CoalCHPPlant,100.0
2030,UK,CoalCHPPlant,75.0
2040,UK,CoalCHPPlant,18.75
2020,DE,GasCHPPlant,200.0
2030,DE,GasCHPPlant,198.639
2040,DE,GasCHPPlant,208.57095
2050,DE,GasCHPPlant,171.07095
2020,FR,GasCHPPlant,35.66
2030,FR,GasCHPPlant,37.443
2040,FR,GasCHPPlant,30.692999999999998
2050,FR,GasCHPPlant,28.442999999999998
2020,NO,GasCHPPlant,12.0
2030,NO,GasCHPPlant,11.102
2040,NO,GasCHPPlant,4.475567026120217
2050,NO,GasCHPPlant,2.225567026120217
2020,DK,GasCHPPlant,33.08
2030,DK,GasCHPPlant,34.734
2040,DK,GasCHPPlant,36.4707
2050,DK,GasCHPPlant,31.7832
2020,UK,GasCHPPlant,91.605
2030,UK,GasCHPPlant,96.18525
2040,UK,GasCHPPlant,98.82993750000001
