Year,Region,Hour,Technology,Fuel,value
2020,DE,1,Power2Gas,Power,16.381164547999997
2030,DE,1,Power2Gas,Power,27.159047928999993
2040,DE,1,Power2Gas,Power,31.25
2020,FR,1,Power2Gas,Power,6.666666666666668
2050,FR,1,Power2Gas,Power,32.552083333333336
2020,NO,1,Power2Gas,Power,1.8136658579333353
2030,NO,1,Power2Gas,Power,1.1680911400000005
2050,NO,1,Power2Gas,Power,9.765625
2020,DK,1,Power2Gas,Power,9.299033781000002
2030,DK,1,Power2Gas,Power,19.153358331
2040,DK,1,Power2Gas,Power,13.020833333333332
2050,DK,1,Power2Gas,Power,45.572916666666664
2020,UK,1,Power2Gas,Power,23.333333333333336
2030,UK,1,Power2Gas,Power,22.5
2040,UK,1,Power2Gas,Power,47.10956998126585
2050,UK,1,Power2Gas,Power,26.041666666666668
2020,DE,2,Power2Gas,Power,20.0
2030,DE,2,Power2Gas,Power,26.912824950999997
2040,DE,2,Power2Gas,Power,23.59394709933333
2020,FR,2,Power2Gas,Power,6.666666666666668
2050,FR,2,Power2Gas,Power,14.528474024658038
2020,NO,2,Power2Gas,Power,5.0
2040,NO,2,Power2Gas,Power,7.8125
2050,NO,2,Power2Gas,Power,9.765625
2020,DK,2,Power2Gas,Power,3.3333333333333335
2030,DK,2,Power2Gas,Power,8.087175049
2040,DK,2,Power2Gas,Power,12.864386234000003
2050,DK,2,Power2Gas,Power,45.572916666666664
2020,UK,2,Power2Gas,Power,23.333333333333336
2030,UK,2,Power2Gas,Power,31.666666666666668
2040,UK,2,Power2Gas,Power,41.469948596
2050,UK,2,Power2Gas,Power,44.06527597534196
2020,DE,3,Power2Gas,Power,20.0
2030,DE,3,Power2Gas,Power,25.609126678
2040,DE,3,Power2Gas,Power,34.891773463
2020,NO,3,Power2Gas,Power,5.0
2050,NO,3,Power2Gas,Power,9.765625
2020,DK,3,Power2Gas,Power,3.3333333333333335
2030,DK,3,Power2Gas,Power,9.390873322000001
2040,DK,3,Power2Gas,Power,13.020833333333332
2050,DK,3,Power2Gas,Power,45.572916666666664
2020,UK,3,Power2Gas,Power,23.333333333333336
2030,UK,3,Power2Gas,Power,31.666666666666668
2040,UK,3,Power2Gas,Power,20.833333333333332
2050,UK,3,Power2Gas,Power,58.59375
2020,DE,4,Power2Gas,Power,20.0
2030,DE,4,Power2Gas,Power,39.870097982900276
2040,DE,4,Power2Gas,Power,42.513508426
2020,NO,4,Power2Gas,Power,4.067256504000001
2040,NO,4,Power2Gas,Power,7.8125
2050,NO,4,Power2Gas,Power,16.379921302005343
2020,DK,4,Power2Gas,Power,3.3333333333333335
2030,DK,4,Power2Gas,Power,4.166666666666667
2040,DK,4,Power2Gas,Power,5.208333333333333
2050,DK,4,Power2Gas,Power,38.95862036466132
2020,UK,4,Power2Gas,Power,23.333333333333336
2030,UK,4,Power2Gas,Power,12.778374158612692
2040,UK,4,Power2Gas,Power,20.833333333333332
2050,UK,4,Power2Gas,Power,58.59375
2020,DE,5,Power2Gas,Power,25.77720815377672
2030,DE,5,Power2Gas,Power,40.0
2040,DE,5,Power2Gas,Power,58.0611728647278
2050,DE,5,Power2Gas,Power,11.761610790000002
2020,FR,5,Power2Gas,Power,4.8473926270000085
2020,NO,5,Power2Gas,Power,5.0
2040,NO,5,Power2Gas,Power,4.069603581272202
2050,NO,5,Power2Gas,Power,27.540457425125002
2030,DK,5,Power2Gas,Power,4.166666666666667
2040,DK,5,Power2Gas,Power,8.181723554000001
2050,DK,5,Power2Gas,Power,16.036473451541664
2020,UK,5,Power2Gas,Power,18.41798180807942
2030,UK,5,Power2Gas,Power,10.666666666666668
2040,UK,5,Power2Gas,Power,20.833333333333332
2050,UK,5,Power2Gas,Power,58.59375
2020,DE,6,Power2Gas,Power,20.0
2030,DE,6,Power2Gas,Power,33.12551472
2040,DE,6,Power2Gas,Power,45.63507954900001
2020,FR,6,Power2Gas,Power,6.666666666666668
2050,FR,6,Power2Gas,Power,22.03358323380587
2020,NO,6,Power2Gas,Power,5.0
2040,NO,6,Power2Gas,Power,3.499999999999992
2050,NO,6,Power2Gas,Power,27.540457425125002
2020,DK,6,Power2Gas,Power,3.3333333333333335
2030,DK,6,Power2Gas,Power,4.166666666666667
2040,DK,6,Power2Gas,Power,5.208333333333333
2050,DK,6,Power2Gas,Power,27.798084241541662
2020,UK,6,Power2Gas,Power,23.333333333333336
2030,UK,6,Power2Gas,Power,29.374485280000002
2040,UK,6,Power2Gas,Power,11.069217425574234
2050,UK,6,Power2Gas,Power,36.56016676619413
2030,DE,7,Power2Gas,Power,12.66783762999998
2040,DE,7,Power2Gas,Power,29.783883944333333
2020,FR,7,Power2Gas,Power,16.666666666666668
2040,FR,7,Power2Gas,Power,5.866006258999988
2050,FR,7,Power2Gas,Power,40.08385577533333
2020,NO,7,Power2Gas,Power,5.0
2030,NO,7,Power2Gas,Power,6.25
2050,NO,7,Power2Gas,Power,27.540457425125002
2020,DK,7,Power2Gas,Power,3.3333333333333335
2030,DK,7,Power2Gas,Power,4.166666666666667
2040,DK,7,Power2Gas,Power,6.674449389000001
2050,DK,7,Power2Gas,Power,27.798084241541662
2020,UK,7,Power2Gas,Power,13.333333333333334
2030,UK,7,Power2Gas,Power,16.666666666666668
2040,UK,7,Power2Gas,Power,6.273249832999994
2050,UK,7,Power2Gas,Power,18.50989422466667
2020,DE,8,Power2Gas,Power,20.0
2030,DE,8,Power2Gas,Power,3.878208528000002
2040,DE,8,Power2Gas,Power,27.64909300433333
2020,FR,8,Power2Gas,Power,7.945699409000021
2040,FR,8,Power2Gas,Power,11.721183829857148
2050,FR,8,Power2Gas,Power,32.09780390233333
2020,NO,8,Power2Gas,Power,5.0
2030,NO,8,Power2Gas,Power,6.25
2050,NO,8,Power2Gas,Power,27.540457425125002
2020,DK,8,Power2Gas,Power,3.3333333333333335
2030,DK,8,Power2Gas,Power,4.465207094
2040,DK,8,Power2Gas,Power,8.809240329000001
2050,DK,8,Power2Gas,Power,27.798084241541662
2020,UK,8,Power2Gas,Power,22.05430059099998
2030,UK,8,Power2Gas,Power,16.666666666666668
2040,UK,8,Power2Gas,Power,29.497079207
2050,UK,8,Power2Gas,Power,26.49594609766667
2020,DE,9,Power2Gas,Power,20.0
2030,DE,9,Power2Gas,Power,4.513138935000001
2040,DE,9,Power2Gas,Power,22.475815402333335
2020,FR,9,Power2Gas,Power,6.666666666666668
2040,FR,9,Power2Gas,Power,13.687798893000007
2050,FR,9,Power2Gas,Power,22.387553692333313
2020,NO,9,Power2Gas,Power,5.0
2030,NO,9,Power2Gas,Power,2.4361692666666714
2050,NO,9,Power2Gas,Power,27.540457425125002
2020,DK,9,Power2Gas,Power,3.3333333333333335
2030,DK,9,Power2Gas,Power,8.645457316
2040,DK,9,Power2Gas,Power,13.982517930999999
2050,DK,9,Power2Gas,Power,27.798084241541662
2020,UK,9,Power2Gas,Power,23.333333333333336
2030,UK,9,Power2Gas,Power,30.485551338
2040,UK,9,Power2Gas,Power,33.18720110699999
2050,UK,9,Power2Gas,Power,36.20619630766669
2020,DE,10,Power2Gas,Power,20.0
2030,DE,10,Power2Gas,Power,20.561497613666667
2040,DE,10,Power2Gas,Power,22.525335860333332
2020,FR,10,Power2Gas,Power,6.666666666666668
2030,FR,10,Power2Gas,Power,11.633361469000008
2040,FR,10,Power2Gas,Power,16.076770237999995
2020,NO,10,Power2Gas,Power,5.0
2030,NO,10,Power2Gas,Power,6.167125377611136
2050,NO,10,Power2Gas,Power,27.540457425125002
2020,DK,10,Power2Gas,Power,3.3333333333333335
2030,DK,10,Power2Gas,Power,8.605169053
2040,DK,10,Power2Gas,Power,13.932997473000002
2050,DK,10,Power2Gas,Power,11.5499241535984
2020,UK,10,Power2Gas,Power,23.64164440754628
2030,UK,10,Power2Gas,Power,37.749541289055536
2040,UK,10,Power2Gas,Power,45.798229762000005
2050,UK,10,Power2Gas,Power,62.20835142071162
2020,DE,11,Power2Gas,Power,16.426863959333332
2030,DE,11,Power2Gas,Power,13.181995617666669
2040,DE,11,Power2Gas,Power,26.471523833999996
2020,FR,11,Power2Gas,Power,13.711232990097773
2030,FR,11,Power2Gas,Power,34.8913161779181
2040,FR,11,Power2Gas,Power,27.073412284999996
2050,FR,11,Power2Gas,Power,14.627724659166688
2020,NO,11,Power2Gas,Power,5.0
2030,NO,11,Power2Gas,Power,2.109142533026361
2050,NO,11,Power2Gas,Power,10.798755212583178
2020,DK,11,Power2Gas,Power,6.906469374
2030,DK,11,Power2Gas,Power,15.984671049
2040,DK,11,Power2Gas,Power,17.799309499333337
2050,DK,11,Power2Gas,Power,5.47728645408349
2020,UK,11,Power2Gas,Power,28.333333333333336
2030,UK,11,Power2Gas,Power,37.749541289055536
2040,UK,11,Power2Gas,Power,35.83333333333333
2050,UK,11,Power2Gas,Power,83.02852534083333
2020,DE,12,Power2Gas,Power,20.0
2030,DE,12,Power2Gas,Power,21.391330042666667
2040,DE,12,Power2Gas,Power,7.139942953670548
2020,FR,12,Power2Gas,Power,6.666666666666668
2030,FR,12,Power2Gas,Power,20.08245124696757
2040,FR,12,Power2Gas,Power,42.45526678732945
2050,FR,12,Power2Gas,Power,35.73099191166668
2020,NO,12,Power2Gas,Power,5.0
2030,NO,12,Power2Gas,Power,6.25
2020,DK,12,Power2Gas,Power,3.3333333333333335
2030,DK,12,Power2Gas,Power,7.7753366239999995
2040,DK,12,Power2Gas,Power,12.904790259000002
2020,UK,12,Power2Gas,Power,23.333333333333336
2030,UK,12,Power2Gas,Power,37.66666666666667
2040,UK,12,Power2Gas,Power,43.64583333333333
2050,UK,12,Power2Gas,Power,61.92525808833333
2030,DE,13,Power2Gas,Power,40.0
2040,DE,13,Power2Gas,Power,9.52251127443667
2020,FR,13,Power2Gas,Power,16.666666666666668
2040,FR,13,Power2Gas,Power,19.795111274
2050,FR,13,Power2Gas,Power,13.449021161666682
2020,NO,13,Power2Gas,Power,5.0
2030,NO,13,Power2Gas,Power,6.25
2050,NO,13,Power2Gas,Power,3.7113943887499996
2020,DK,13,Power2Gas,Power,3.3333333333333335
2030,DK,13,Power2Gas,Power,4.166666666666667
2040,DK,13,Power2Gas,Power,26.93582205889666
2020,UK,13,Power2Gas,Power,13.333333333333334
2030,UK,13,Power2Gas,Power,10.666666666666668
2040,UK,13,Power2Gas,Power,27.079888726
2050,UK,13,Power2Gas,Power,45.14472883833332
2020,DE,14,Power2Gas,Power,20.0
2030,DE,14,Power2Gas,Power,40.0
2040,DE,14,Power2Gas,Power,3.8098987156020776
2020,FR,14,Power2Gas,Power,6.666666666666668
2040,FR,14,Power2Gas,Power,26.041666666666668
2020,NO,14,Power2Gas,Power,5.0
2030,NO,14,Power2Gas,Power,6.25
2020,DK,14,Power2Gas,Power,3.3333333333333335
2030,DK,14,Power2Gas,Power,4.166666666666667
2040,DK,14,Power2Gas,Power,32.648434617731255
2020,UK,14,Power2Gas,Power,23.333333333333336
2030,UK,14,Power2Gas,Power,22.5
2040,UK,14,Power2Gas,Power,5.833333333333332
2050,UK,14,Power2Gas,Power,58.59375
2020,DE,15,Power2Gas,Power,3.0
2030,DE,15,Power2Gas,Power,40.0
2040,DE,15,Power2Gas,Power,3.8098987156020776
2040,FR,15,Power2Gas,Power,19.008299066666666
2020,NO,15,Power2Gas,Power,5.0
2030,NO,15,Power2Gas,Power,6.25
2050,NO,15,Power2Gas,Power,6.120929940124997
2020,DK,15,Power2Gas,Power,3.3333333333333335
2030,DK,15,Power2Gas,Power,4.166666666666667
2040,DK,15,Power2Gas,Power,32.648434617731255
2020,UK,15,Power2Gas,Power,18.333333333333336
2030,UK,15,Power2Gas,Power,10.666666666666668
2040,UK,15,Power2Gas,Power,5.833333333333332
2050,UK,15,Power2Gas,Power,58.59375
2020,DE,16,Power2Gas,Power,20.0
2030,DE,16,Power2Gas,Power,19.46005251409973
2040,DE,16,Power2Gas,Power,3.8098987156020776
2040,FR,16,Power2Gas,Power,17.215971182930364
2020,NO,16,Power2Gas,Power,5.0
2030,NO,16,Power2Gas,Power,6.25
2050,NO,16,Power2Gas,Power,5.028398924624999
2020,DK,16,Power2Gas,Power,3.3333333333333335
2030,DK,16,Power2Gas,Power,4.166666666666667
2040,DK,16,Power2Gas,Power,32.648434617731255
2050,DK,16,Power2Gas,Power,9.127405439166669
2020,UK,16,Power2Gas,Power,15.568662630103386
2030,UK,16,Power2Gas,Power,13.338089959000001
2040,UK,16,Power2Gas,Power,5.833333333333332
2050,UK,16,Power2Gas,Power,19.425219669268337
2020,DE,17,Power2Gas,Power,20.0
2030,DE,17,Power2Gas,Power,40.0
2040,DE,17,Power2Gas,Power,4.107904644000001
2050,DE,17,Power2Gas,Power,34.23037956
2020,FR,17,Power2Gas,Power,1.343181487000006
2040,FR,17,Power2Gas,Power,26.041666666666668
2020,NO,17,Power2Gas,Power,5.0
2030,NO,17,Power2Gas,Power,6.25
2050,NO,17,Power2Gas,Power,4.235935263250003
2020,DK,17,Power2Gas,Power,3.3333333333333335
2030,DK,17,Power2Gas,Power,4.166666666666667
2040,DK,17,Power2Gas,Power,32.350428689333334
2050,DK,17,Power2Gas,Power,10.36967658166667
2020,UK,17,Power2Gas,Power,23.333333333333336
2030,UK,17,Power2Gas,Power,20.694512996
2040,UK,17,Power2Gas,Power,20.833333333333332
2020,DE,18,Power2Gas,Power,20.0
2030,DE,18,Power2Gas,Power,35.434497930666666
2040,DE,18,Power2Gas,Power,4.327257533000001
2050,DE,18,Power2Gas,Power,19.013838935000003
2020,FR,18,Power2Gas,Power,11.310589959000016
2040,FR,18,Power2Gas,Power,26.041666666666668
2020,NO,18,Power2Gas,Power,5.0
2030,NO,18,Power2Gas,Power,6.25
2020,DK,18,Power2Gas,Power,3.3333333333333335
2030,DK,18,Power2Gas,Power,8.732168735999998
2040,DK,18,Power2Gas,Power,27.317413588999973
2050,DK,18,Power2Gas,Power,26.559077731666665
2020,UK,18,Power2Gas,Power,18.689410040999988
2030,UK,18,Power2Gas,Power,22.5
2040,UK,18,Power2Gas,Power,20.833333333333332
2050,UK,18,Power2Gas,Power,14.072091948333345
2020,DE,19,Power2Gas,Power,20.0
2030,DE,19,Power2Gas,Power,40.0
2050,DE,19,Power2Gas,Power,16.460279344999996
2020,FR,19,Power2Gas,Power,12.806215851000008
2040,FR,19,Power2Gas,Power,26.041666666666668
2050,FR,19,Power2Gas,Power,0.31416715433331843
2020,NO,19,Power2Gas,Power,5.0
2030,NO,19,Power2Gas,Power,6.25
2050,NO,19,Power2Gas,Power,5.502545350625
2020,DK,19,Power2Gas,Power,3.3333333333333335
2030,DK,19,Power2Gas,Power,4.166666666666667
2040,DK,19,Power2Gas,Power,5.798458278000001
2050,DK,19,Power2Gas,Power,15.35407500916667
2020,UK,19,Power2Gas,Power,17.193784148999995
2030,UK,19,Power2Gas,Power,22.5
2040,UK,19,Power2Gas,Power,20.833333333333332
2050,UK,19,Power2Gas,Power,20.332101985833336
2020,DE,20,Power2Gas,Power,14.113833810333334
2030,DE,20,Power2Gas,Power,18.811249822559894
2040,DE,20,Power2Gas,Power,13.523777331999998
2020,FR,20,Power2Gas,Power,3.3156701510000097
2040,FR,20,Power2Gas,Power,26.041666666666668
2020,NO,20,Power2Gas,Power,5.0
2030,NO,20,Power2Gas,Power,6.25
2040,NO,20,Power2Gas,Power,6.804227486333335
2050,NO,20,Power2Gas,Power,14.030571869749998
2020,DK,20,Power2Gas,Power,9.219499523
2030,DK,20,Power2Gas,Power,17.32151684
2040,DK,20,Power2Gas,Power,23.942828515
2050,DK,20,Power2Gas,Power,41.307969796916666
2020,UK,20,Power2Gas,Power,23.333333333333336
2030,UK,20,Power2Gas,Power,25.285026054000003
2040,UK,20,Power2Gas,Power,20.833333333333332
2020,DE,21,Power2Gas,Power,20.0
2030,DE,21,Power2Gas,Power,36.91671842866667
2040,DE,21,Power2Gas,Power,4.862880132000001
2050,DE,21,Power2Gas,Power,17.151378549375007
2020,FR,21,Power2Gas,Power,6.666666666666668
2040,FR,21,Power2Gas,Power,26.041666666666668
2020,NO,21,Power2Gas,Power,5.0
2030,NO,21,Power2Gas,Power,6.25
2040,NO,21,Power2Gas,Power,7.8125
2050,NO,21,Power2Gas,Power,17.467397818124997
2020,DK,21,Power2Gas,Power,3.3333333333333335
2030,DK,21,Power2Gas,Power,7.249948237999999
2040,DK,21,Power2Gas,Power,10.732055207999998
2050,DK,21,Power2Gas,Power,20.719765299166664
2020,UK,21,Power2Gas,Power,23.333333333333336
2030,UK,21,Power2Gas,Power,20.150491189
2040,UK,21,Power2Gas,Power,20.833333333333332
2020,DE,22,Power2Gas,Power,12.694330230333334
2030,DE,22,Power2Gas,Power,17.65196506566667
2040,DE,22,Power2Gas,Power,18.471042844000003
2050,DE,22,Power2Gas,Power,3.128419862500003
2020,FR,22,Power2Gas,Power,16.666666666666668
2040,FR,22,Power2Gas,Power,26.041666666666668
2020,NO,22,Power2Gas,Power,5.0
2030,NO,22,Power2Gas,Power,6.25
2050,NO,22,Power2Gas,Power,8.231382840875
2020,DK,22,Power2Gas,Power,10.639003103
2030,DK,22,Power2Gas,Power,18.964529995
2040,DK,22,Power2Gas,Power,25.79979048933333
2050,DK,22,Power2Gas,Power,42.44449680416666
2020,UK,22,Power2Gas,Power,13.333333333333334
2030,UK,22,Power2Gas,Power,30.050171606
2040,UK,22,Power2Gas,Power,20.833333333333332
2050,UK,22,Power2Gas,Power,42.51266924223168
2020,DE,23,Power2Gas,Power,20.0
2030,DE,23,Power2Gas,Power,30.833333333333332
2020,FR,23,Power2Gas,Power,16.666666666666668
2040,FR,23,Power2Gas,Power,23.196724613999997
2050,FR,23,Power2Gas,Power,4.239610031333328
2020,NO,23,Power2Gas,Power,5.0
2030,NO,23,Power2Gas,Power,6.25
2040,NO,23,Power2Gas,Power,7.8125
2050,NO,23,Power2Gas,Power,9.526737380249996
2020,DK,23,Power2Gas,Power,3.3333333333333335
2030,DK,23,Power2Gas,Power,4.166666666666667
2040,DK,23,Power2Gas,Power,5.168861299
2050,DK,23,Power2Gas,Power,9.129398162189974
2020,UK,23,Power2Gas,Power,13.333333333333334
2030,UK,23,Power2Gas,Power,31.666666666666668
2040,UK,23,Power2Gas,Power,23.678275386000003
2050,UK,23,Power2Gas,Power,54.35413996866667
2020,DE,24,Power2Gas,Power,20.0
2030,DE,24,Power2Gas,Power,36.008786654666665
2050,DE,24,Power2Gas,Power,3.8984417100000144
2020,FR,24,Power2Gas,Power,6.666666666666668
2020,NO,24,Power2Gas,Power,5.0
2030,NO,24,Power2Gas,Power,6.25
2040,NO,24,Power2Gas,Power,7.8125
2050,NO,24,Power2Gas,Power,4.061083673875001
2020,DK,24,Power2Gas,Power,3.3333333333333335
2030,DK,24,Power2Gas,Power,4.459763755000001
2040,DK,24,Power2Gas,Power,7.704976830000001
2050,DK,24,Power2Gas,Power,14.686438764166665
2020,UK,24,Power2Gas,Power,23.333333333333336
2030,UK,24,Power2Gas,Power,26.198116257000002
2040,UK,24,Power2Gas,Power,46.875
2050,UK,24,Power2Gas,Power,58.59375
2020,DE,25,Power2Gas,Power,18.694560146333334
2030,DE,25,Power2Gas,Power,33.81912140066667
2050,DE,25,Power2Gas,Power,4.00557925999999
2020,FR,25,Power2Gas,Power,6.666666666666668
2040,FR,25,Power2Gas,Power,7.057557946999999
2020,NO,25,Power2Gas,Power,5.0
2030,NO,25,Power2Gas,Power,6.25
2040,NO,25,Power2Gas,Power,7.8125
2050,NO,25,Power2Gas,Power,12.292722203499999
2020,DK,25,Power2Gas,Power,4.638773187
2030,DK,25,Power2Gas,Power,10.347545266
2040,DK,25,Power2Gas,Power,15.088097131000003
2050,DK,25,Power2Gas,Power,23.764921536666662
2020,UK,25,Power2Gas,Power,23.333333333333336
2030,UK,25,Power2Gas,Power,22.5
2040,UK,25,Power2Gas,Power,39.817442053
2050,UK,25,Power2Gas,Power,58.59375
2020,DE,26,Power2Gas,Power,13.026332294333333
2030,DE,26,Power2Gas,Power,16.191258096
2040,DE,26,Power2Gas,Power,11.748708550000003
2020,FR,26,Power2Gas,Power,0.4147646250000072
2040,FR,26,Power2Gas,Power,24.651333236000006
2020,NO,26,Power2Gas,Power,5.0
2030,NO,26,Power2Gas,Power,6.25
2040,NO,26,Power2Gas,Power,6.200703650333335
2050,NO,26,Power2Gas,Power,24.40161769825
2020,DK,26,Power2Gas,Power,10.307001039000001
2030,DK,26,Power2Gas,Power,18.808741904
2040,DK,26,Power2Gas,Power,26.321421132999994
2050,DK,26,Power2Gas,Power,30.936923968416664
2020,UK,26,Power2Gas,Power,23.333333333333336
2030,UK,26,Power2Gas,Power,31.666666666666668
2040,UK,26,Power2Gas,Power,22.223666763999994
2050,UK,26,Power2Gas,Power,58.59375
2020,DE,27,Power2Gas,Power,10.333333333333334
2030,DE,27,Power2Gas,Power,25.0
2040,DE,27,Power2Gas,Power,14.574645896999954
2050,DE,27,Power2Gas,Power,31.76865716999997
2020,FR,27,Power2Gas,Power,15.018170816
2040,FR,27,Power2Gas,Power,3.8866124679999956
2050,FR,27,Power2Gas,Power,19.044488251999994
2030,NO,27,Power2Gas,Power,2.358964347000004
2040,NO,27,Power2Gas,Power,6.667346954000001
2050,NO,27,Power2Gas,Power,27.540457425125002
2020,DK,27,Power2Gas,Power,18.0
2030,DK,27,Power2Gas,Power,23.57812900021917
2040,DK,27,Power2Gas,Power,27.858497704906604
2050,DK,27,Power2Gas,Power,49.32959351583334
2020,UK,27,Power2Gas,Power,14.981829184000002
2030,UK,27,Power2Gas,Power,22.5
2040,UK,27,Power2Gas,Power,42.988387532000004
2050,UK,27,Power2Gas,Power,26.041666666666668
2020,DE,28,Power2Gas,Power,18.773325371
2030,DE,28,Power2Gas,Power,37.873442116
2040,DE,28,Power2Gas,Power,37.165939508999955
2050,DE,28,Power2Gas,Power,91.15569758999999
2020,FR,28,Power2Gas,Power,6.666666666666668
2030,FR,28,Power2Gas,Power,22.655509170000023
2040,FR,28,Power2Gas,Power,38.58370363600001
2050,FR,28,Power2Gas,Power,113.25921156075555
2030,NO,28,Power2Gas,Power,1.005106180000002
2040,NO,28,Power2Gas,Power,5.343299809499999
2050,NO,28,Power2Gas,Power,27.540457425125002
